rank,feature
1,value__percentage_of_reoccurring_datapoints_to_all_datapoints
2,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean"""
3,"value__linear_trend__attr_""pvalue"""
4,value__index_mass_quantile__q_0.1
5,"value__fft_coefficient__attr_""imag""__coeff_38"
6,"value__fft_coefficient__attr_""angle""__coeff_51"
7,value__ratio_value_number_to_time_series_length
8,"value__fft_coefficient__attr_""angle""__coeff_17"
9,"value__fft_coefficient__attr_""angle""__coeff_40"
10,"value__fft_coefficient__attr_""abs""__coeff_1"
11,value__index_mass_quantile__q_0.6
12,value__percentage_of_reoccurring_values_to_all_values
13,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean"""
14,"value__fft_coefficient__attr_""imag""__coeff_87"
15,value__longest_strike_above_mean
16,"value__fft_coefficient__attr_""angle""__coeff_68"
17,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4"
18,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1
19,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean"""
20,value__large_standard_deviation__r_0.15000000000000002
