rank,majority_voting,rank_aggregation
1,"value__fft_coefficient__attr_""imag""__coeff_3","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean"""
2,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean"""
3,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean"""
4,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__linear_trend__attr_""slope"""
5,"value__fft_coefficient__attr_""imag""__coeff_38",value__percentage_of_reoccurring_values_to_all_values
6,"value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__fft_coefficient__attr_""imag""__coeff_3"
7,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",value__ratio_value_number_to_time_series_length
8,"value__fft_coefficient__attr_""real""__coeff_24",value__percentage_of_reoccurring_datapoints_to_all_datapoints
9,"value__fft_coefficient__attr_""imag""__coeff_10","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max"""
10,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_1"
11,"value__fft_coefficient__attr_""imag""__coeff_5","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max"""
12,"value__fft_coefficient__attr_""imag""__coeff_1",value__mean_change
13,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min"""
14,value__index_mass_quantile__q_0.6,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0"
15,value__index_mass_quantile__q_0.1,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean"""
16,value__percentage_of_reoccurring_values_to_all_values,"value__fft_coefficient__attr_""imag""__coeff_2"
17,"value__linear_trend__attr_""pvalue""",value__index_mass_quantile__q_0.1
18,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""imag""__coeff_5"
19,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_51"
20,value__ratio_value_number_to_time_series_length,value__sample_entropy
21,,"value__linear_trend__attr_""rvalue"""
22,,value__longest_strike_below_mean
23,,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max"""
24,,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean"""
25,,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min"""
26,,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min"""
27,,value__longest_strike_above_mean
28,,value__time_reversal_asymmetry_statistic__lag_2
