feature,count
"value__fft_coefficient__attr_""imag""__coeff_3",3
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",3
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",2
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",2
"value__fft_coefficient__attr_""imag""__coeff_38",2
"value__agg_autocorrelation__f_agg_""var""__maxlag_40",2
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",2
"value__fft_coefficient__attr_""real""__coeff_24",2
"value__fft_coefficient__attr_""imag""__coeff_10",2
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",2
"value__fft_coefficient__attr_""imag""__coeff_5",2
"value__fft_coefficient__attr_""imag""__coeff_1",2
value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,2
value__index_mass_quantile__q_0.6,2
value__index_mass_quantile__q_0.1,2
value__percentage_of_reoccurring_values_to_all_values,2
"value__linear_trend__attr_""pvalue""",2
"value__linear_trend__attr_""slope""",2
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",2
value__ratio_value_number_to_time_series_length,2
