rank,majority_voting,rank_aggregation
1,"value__linear_trend__attr_""pvalue""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean"""
2,value__percentage_of_reoccurring_datapoints_to_all_datapoints,value__friedrich_coefficients__coeff_3__m_3__r_30
3,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__index_mass_quantile__q_0.6
4,"value__fft_coefficient__attr_""real""__coeff_24","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min"""
5,value__ratio_value_number_to_time_series_length,value__percentage_of_reoccurring_datapoints_to_all_datapoints
6,"value__fft_coefficient__attr_""angle""__coeff_45",value__percentage_of_reoccurring_values_to_all_values
7,"value__fft_coefficient__attr_""imag""__coeff_38",value__number_crossing_m__m_-1
8,,"value__fft_coefficient__attr_""angle""__coeff_51"
9,,value__time_reversal_asymmetry_statistic__lag_3
10,,"value__fft_coefficient__attr_""abs""__coeff_1"
11,,value__large_standard_deviation__r_0.1
12,,"value__fft_coefficient__attr_""angle""__coeff_40"
13,,"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
14,,"value__fft_coefficient__attr_""imag""__coeff_87"
15,,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min"""
16,,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1
17,,value__partial_autocorrelation__lag_7
18,,"value__fft_coefficient__attr_""imag""__coeff_67"
19,,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4"
20,,"value__fft_coefficient__attr_""real""__coeff_24"
21,,value__symmetry_looking__r_0.15000000000000002
22,,"value__linear_trend__attr_""pvalue"""
23,,"value__fft_coefficient__attr_""angle""__coeff_17"
24,,value__longest_strike_below_mean
25,,value__ratio_value_number_to_time_series_length
26,,"value__fft_coefficient__attr_""angle""__coeff_30"
27,,"value__fft_coefficient__attr_""imag""__coeff_63"
28,,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean"""
29,,"value__fft_coefficient__attr_""real""__coeff_23"
30,,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4"
31,,"value__fft_coefficient__attr_""angle""__coeff_5"
32,,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean"""
33,,value__max_langevin_fixed_point__m_3__r_30
34,,value__large_standard_deviation__r_0.35000000000000003
35,,"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC"""
36,,"value__agg_autocorrelation__f_agg_""var""__maxlag_40"
37,,value__index_mass_quantile__q_0.1
38,,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min"""
39,,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8"
40,,"value__linear_trend__attr_""slope"""
41,,value__longest_strike_above_mean
42,,"value__fft_coefficient__attr_""angle""__coeff_22"
43,,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean"""
44,,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6
45,,"value__fft_coefficient__attr_""imag""__coeff_38"
46,,"value__fft_coefficient__attr_""angle""__coeff_45"
47,,value__binned_entropy__max_bins_10
48,,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max"""
49,,"value__fft_coefficient__attr_""real""__coeff_14"
50,,"value__fft_coefficient__attr_""angle""__coeff_8"
51,,"value__fft_coefficient__attr_""real""__coeff_47"
52,,"value__fft_coefficient__attr_""imag""__coeff_39"
53,,value__friedrich_coefficients__coeff_2__m_3__r_30
