feature,avg_rank
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",1.0
value__friedrich_coefficients__coeff_3__m_3__r_30,2.0
value__index_mass_quantile__q_0.6,2.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",2.0
value__percentage_of_reoccurring_datapoints_to_all_datapoints,2.0
value__percentage_of_reoccurring_values_to_all_values,3.0
value__number_crossing_m__m_-1,3.0
"value__fft_coefficient__attr_""angle""__coeff_51",4.0
value__time_reversal_asymmetry_statistic__lag_3,4.0
"value__fft_coefficient__attr_""abs""__coeff_1",4.0
value__large_standard_deviation__r_0.1,5.0
"value__fft_coefficient__attr_""angle""__coeff_40",5.0
"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",6.0
"value__fft_coefficient__attr_""imag""__coeff_87",6.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",6.0
value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,7.0
value__partial_autocorrelation__lag_7,7.0
"value__fft_coefficient__attr_""imag""__coeff_67",8.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",8.0
"value__fft_coefficient__attr_""real""__coeff_24",8.0
value__symmetry_looking__r_0.15000000000000002,8.0
"value__linear_trend__attr_""pvalue""",8.5
"value__fft_coefficient__attr_""angle""__coeff_17",9.0
value__longest_strike_below_mean,9.0
value__ratio_value_number_to_time_series_length,9.0
"value__fft_coefficient__attr_""angle""__coeff_30",10.0
"value__fft_coefficient__attr_""imag""__coeff_63",10.0
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",10.0
"value__fft_coefficient__attr_""real""__coeff_23",11.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",11.0
"value__fft_coefficient__attr_""angle""__coeff_5",11.0
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",12.0
value__max_langevin_fixed_point__m_3__r_30,12.0
value__large_standard_deviation__r_0.35000000000000003,13.0
"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",13.0
"value__agg_autocorrelation__f_agg_""var""__maxlag_40",13.5
value__index_mass_quantile__q_0.1,14.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",14.0
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",14.0
"value__linear_trend__attr_""slope""",15.0
value__longest_strike_above_mean,16.0
"value__fft_coefficient__attr_""angle""__coeff_22",17.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",17.0
value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,17.0
"value__fft_coefficient__attr_""imag""__coeff_38",17.0
"value__fft_coefficient__attr_""angle""__coeff_45",18.0
value__binned_entropy__max_bins_10,18.0
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",18.0
"value__fft_coefficient__attr_""real""__coeff_14",18.0
"value__fft_coefficient__attr_""angle""__coeff_8",19.0
"value__fft_coefficient__attr_""real""__coeff_47",19.0
"value__fft_coefficient__attr_""imag""__coeff_39",20.0
value__friedrich_coefficients__coeff_2__m_3__r_30,20.0
