feature,avg_rank
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",24.0
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",24.333333333333332
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",24.666666666666668
"value__linear_trend__attr_""slope""",26.333333333333332
value__percentage_of_reoccurring_values_to_all_values,31.333333333333332
"value__fft_coefficient__attr_""imag""__coeff_3",31.666666666666668
value__ratio_value_number_to_time_series_length,37.333333333333336
value__percentage_of_reoccurring_datapoints_to_all_datapoints,41.333333333333336
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",42.0
"value__fft_coefficient__attr_""imag""__coeff_1",45.666666666666664
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",49.666666666666664
value__mean_change,56.0
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",56.666666666666664
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",57.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",57.666666666666664
"value__fft_coefficient__attr_""imag""__coeff_2",59.333333333333336
value__index_mass_quantile__q_0.1,61.333333333333336
"value__fft_coefficient__attr_""imag""__coeff_5",62.333333333333336
"value__fft_coefficient__attr_""angle""__coeff_51",63.333333333333336
value__sample_entropy,64.0
"value__linear_trend__attr_""rvalue""",64.33333333333333
value__longest_strike_below_mean,65.0
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",70.33333333333333
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",72.33333333333333
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",73.33333333333333
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",79.66666666666667
value__longest_strike_above_mean,81.33333333333333
value__time_reversal_asymmetry_statistic__lag_2,83.33333333333333
"value__fft_coefficient__attr_""imag""__coeff_10",84.0
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",87.66666666666667
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",91.0
"value__fft_coefficient__attr_""imag""__coeff_38",93.33333333333333
"value__linear_trend__attr_""pvalue""",97.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",99.0
"value__fft_coefficient__attr_""angle""__coeff_40",99.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",101.0
value__time_reversal_asymmetry_statistic__lag_1,103.66666666666667
"value__fft_coefficient__attr_""imag""__coeff_67",106.66666666666667
"value__fft_coefficient__attr_""imag""__coeff_30",109.0
"value__fft_coefficient__attr_""imag""__coeff_7",111.0
value__index_mass_quantile__q_0.2,116.33333333333333
"value__fft_coefficient__attr_""abs""__coeff_1",121.0
"value__agg_autocorrelation__f_agg_""median""__maxlag_40",122.0
"value__agg_autocorrelation__f_agg_""var""__maxlag_40",123.66666666666667
"value__fft_coefficient__attr_""angle""__coeff_17",125.0
value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,125.66666666666667
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",126.0
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",126.33333333333333
value__time_reversal_asymmetry_statistic__lag_3,126.33333333333333
"value__fft_coefficient__attr_""angle""__coeff_30",128.0
"value__fft_coefficient__attr_""imag""__coeff_51",128.66666666666666
"value__fft_coefficient__attr_""imag""__coeff_8",128.66666666666666
"value__fft_coefficient__attr_""real""__coeff_24",130.0
"value__fft_coefficient__attr_""imag""__coeff_31",130.66666666666666
"value__fft_coefficient__attr_""imag""__coeff_39",132.0
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",133.33333333333334
value__approximate_entropy__m_2__r_0.5,134.0
"value__fft_coefficient__attr_""imag""__coeff_17",138.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",142.66666666666666
"value__fft_coefficient__attr_""angle""__coeff_46",143.33333333333334
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",144.0
"value__fft_coefficient__attr_""real""__coeff_58",145.33333333333334
"value__fft_coefficient__attr_""angle""__coeff_41",146.66666666666666
"value__fft_coefficient__attr_""imag""__coeff_9",149.33333333333334
"value__fft_coefficient__attr_""imag""__coeff_84",150.33333333333334
"value__fft_coefficient__attr_""angle""__coeff_31",150.33333333333334
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",150.66666666666666
value__index_mass_quantile__q_0.3,153.0
"value__fft_coefficient__attr_""imag""__coeff_55",153.0
"value__fft_coefficient__attr_""angle""__coeff_2",153.33333333333334
"value__fft_coefficient__attr_""imag""__coeff_18",153.66666666666666
"value__fft_coefficient__attr_""imag""__coeff_26",156.0
"value__fft_coefficient__attr_""imag""__coeff_16",156.33333333333334
value__standard_deviation,158.33333333333334
"value__fft_coefficient__attr_""imag""__coeff_33",158.33333333333334
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",160.0
"value__fft_coefficient__attr_""angle""__coeff_8",162.0
"value__fft_coefficient__attr_""angle""__coeff_1",162.0
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",163.0
"value__fft_coefficient__attr_""imag""__coeff_21",163.33333333333334
value__first_location_of_maximum,164.0
value__number_peaks__n_50,165.33333333333334
"value__fft_coefficient__attr_""real""__coeff_90",167.33333333333334
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",167.33333333333334
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",168.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",168.33333333333334
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",171.33333333333334
value__ratio_beyond_r_sigma__r_2,171.66666666666666
"value__fft_coefficient__attr_""real""__coeff_72",172.0
"value__fft_coefficient__attr_""angle""__coeff_22",173.0
"value__fft_coefficient__attr_""angle""__coeff_37",174.33333333333334
