rank,mutual_info,mutual_info_score,anova,anova_score,relief,relief_score
1,"value__fft_coefficient__attr_""imag""__coeff_72",0.06778284949549396,value__ratio_beyond_r_sigma__r_0.5,35.31325256624258,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",457.94619533560893
2,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.06767549481198865,value__ratio_beyond_r_sigma__r_1,34.71998145966988,value__friedrich_coefficients__coeff_3__m_3__r_30,413.58083196061233
3,"value__fft_coefficient__attr_""imag""__coeff_30",0.06712627879832933,"value__agg_autocorrelation__f_agg_""median""__maxlag_40",32.33582150614106,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",356.1791601617767
4,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.06552746517843189,value__large_standard_deviation__r_0.25,32.238111647139895,value__index_mass_quantile__q_0.1,178.0235955609683
5,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.06500327884005697,value__longest_strike_below_mean,31.979999034939,value__time_reversal_asymmetry_statistic__lag_3,162.0665442139841
6,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",0.06346613760884212,"value__agg_autocorrelation__f_agg_""mean""__maxlag_40",31.309023153805295,value__time_reversal_asymmetry_statistic__lag_2,160.77669626087857
7,"value__fft_coefficient__attr_""abs""__coeff_1",0.062454070786498006,value__ratio_beyond_r_sigma__r_2.5,30.138494408701582,value__time_reversal_asymmetry_statistic__lag_1,158.33023665002872
8,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",0.06163362781557247,value__large_standard_deviation__r_0.2,28.284454118455635,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",153.1235741858196
9,value__last_location_of_maximum,0.05977910511029916,value__ratio_beyond_r_sigma__r_2,27.075853331577697,value__friedrich_coefficients__coeff_1__m_3__r_30,145.00636614637577
10,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.05663954544447636,"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",27.035208818247607,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",131.28900737182428
11,"value__fft_coefficient__attr_""angle""__coeff_75",0.05599741184702989,value__ratio_value_number_to_time_series_length,24.613159197037447,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",116.80604414535152
12,"value__fft_coefficient__attr_""angle""__coeff_92",0.05489732537216496,value__percentage_of_reoccurring_datapoints_to_all_datapoints,24.47772170318855,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,97.48474539897308
13,value__first_location_of_maximum,0.05296489623524403,value__autocorrelation__lag_9,24.451913436486105,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",96.91530739757887
14,value__standard_deviation,0.051948397708970306,value__percentage_of_reoccurring_values_to_all_values,24.438606913768947,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",93.8191200438149
15,"value__fft_coefficient__attr_""angle""__coeff_6",0.05192519076576896,value__binned_entropy__max_bins_10,24.16504674397251,value__ar_coefficient__coeff_0__k_10,87.4804836435057
16,value__autocorrelation__lag_8,0.05180919212369006,value__autocorrelation__lag_8,23.936290168205826,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",86.38488248338447
17,"value__fft_coefficient__attr_""real""__coeff_62",0.05165678392835238,"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",23.54759034068389,value__index_mass_quantile__q_0.2,85.8323446371638
18,"value__fft_coefficient__attr_""imag""__coeff_23",0.051352916686063566,value__autocorrelation__lag_7,22.899618239433337,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,84.5506027813137
19,value__variation_coefficient,0.05065633316670559,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",22.588860238435522,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",82.48641024341168
20,value__variance,0.0501893600192056,value__autocorrelation__lag_5,21.16942254642744,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",81.69241707272373
21,"value__fft_coefficient__attr_""real""__coeff_81",0.05017236678950132,value__autocorrelation__lag_6,20.688492548245858,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",81.21290770898992
22,"value__fft_coefficient__attr_""abs""__coeff_2",0.04946138279590673,value__ratio_beyond_r_sigma__r_3,20.442328745502422,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",80.85858442307192
23,"value__linear_trend__attr_""rvalue""",0.04866844805765025,value__autocorrelation__lag_3,19.30016979839666,value__index_mass_quantile__q_0.3,80.69677022477278
24,value__time_reversal_asymmetry_statistic__lag_1,0.04801126252586996,value__fourier_entropy__bins_100,19.29222044485135,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",78.4140926684738
25,value__ratio_value_number_to_time_series_length,0.047276134770666056,value__approximate_entropy__m_2__r_0.9,19.028846307645953,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",78.11870644283545
26,value__autocorrelation__lag_7,0.047148458343731825,value__autocorrelation__lag_4,18.99652476655646,value__index_mass_quantile__q_0.4,76.76375459605265
27,"value__fft_coefficient__attr_""abs""__coeff_46",0.04662807301989624,value__sample_entropy,18.86584484840766,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",75.80053659901569
28,"value__fft_coefficient__attr_""real""__coeff_56",0.046039539515779104,value__approximate_entropy__m_2__r_0.7,18.851480279662756,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",73.47151345340751
