rank,mutual_info,mutual_info_score,anova,anova_score,relief,relief_score
1,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.1327886450029181,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",50.855963015531565,value__spkt_welch_density__coeff_2,396.4682625330931
2,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.12202996949757661,value__friedrich_coefficients__coeff_0__m_3__r_30,50.63610089146988,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",316.2871334718808
3,"value__fft_coefficient__attr_""imag""__coeff_27",0.12010813164595979,value__standard_deviation,48.71139404662077,value__permutation_entropy__dimension_7__tau_1,260.34782542520264
4,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.11982800916915326,"value__fft_coefficient__attr_""abs""__coeff_1",47.68951595591903,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",223.2257522556582
5,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",0.11323224682490607,value__variance_larger_than_standard_deviation,46.20799999999999,value__variance,200.4353102490154
6,"value__fft_coefficient__attr_""imag""__coeff_23",0.11232962161838711,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",42.656950802517756,value__index_mass_quantile__q_0.1,172.06262949081892
7,"value__fft_coefficient__attr_""imag""__coeff_60",0.11123261878277324,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",42.600051996161866,"value__fft_coefficient__attr_""real""__coeff_2",171.79625666547716
8,"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.11100164603942653,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",42.55489602125456,value__permutation_entropy__dimension_6__tau_1,169.63796268516447
9,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.10951881545226105,"value__fft_coefficient__attr_""imag""__coeff_1",42.042338867527505,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",165.1293685945933
10,"value__fft_coefficient__attr_""imag""__coeff_25",0.10634439789548789,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",41.93310378815007,value__permutation_entropy__dimension_5__tau_1,164.32261465079915
11,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",0.10481040560324884,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",41.414033807406014,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",159.6682584045244
12,"value__fft_coefficient__attr_""imag""__coeff_54",0.10478484591057624,value__percentage_of_reoccurring_datapoints_to_all_datapoints,41.303330423678595,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",158.231911488275
13,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.10406831822165619,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",41.27773852830474,value__permutation_entropy__dimension_4__tau_1,149.607516556822
14,"value__fft_coefficient__attr_""imag""__coeff_18",0.10007828725742685,"value__linear_trend__attr_""stderr""",41.16418500026715,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",141.78611145651723
15,"value__fft_coefficient__attr_""imag""__coeff_76",0.09906856463805114,value__ratio_value_number_to_time_series_length,41.09694621649749,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",141.03568715835274
16,value__index_mass_quantile__q_0.3,0.0987444135822515,"value__fft_coefficient__attr_""abs""__coeff_2",41.08055862556695,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",140.18000329132485
17,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",0.09860599807901149,"value__fft_coefficient__attr_""abs""__coeff_4",40.787820636091645,value__spkt_welch_density__coeff_5,139.51717434938286
18,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.09805337368192601,"value__fft_coefficient__attr_""abs""__coeff_3",40.75927402753014,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",138.1586861997502
19,value__standard_deviation,0.09689279056464528,value__percentage_of_reoccurring_values_to_all_values,40.63651678182853,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",136.67209141141257
20,value__variance,0.09659673790195833,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",40.29019209015551,value__permutation_entropy__dimension_3__tau_1,136.65332526541874
21,"value__fft_coefficient__attr_""abs""__coeff_12",0.09650238609354655,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",39.646640020545526,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",135.77532459592834
