rank,mutual_info,mutual_info_score,anova,anova_score,relief,relief_score
1,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",0.1856240149310413,value__percentage_of_reoccurring_datapoints_to_all_datapoints,26.39314180146555,"value__linear_trend__attr_""pvalue""",17964.51667862401
2,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.1829091221476553,value__percentage_of_reoccurring_values_to_all_values,26.279791709429727,value__number_crossing_m__m_-1,1038.3999999999999
3,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.18203992815799386,value__ratio_value_number_to_time_series_length,26.26914466284674,value__number_crossing_m__m_0,635.5999999999999
4,"value__linear_trend__attr_""slope""",0.18143585149630237,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",19.863041610571184,value__friedrich_coefficients__coeff_3__m_3__r_30,544.3348474827152
5,"value__fft_coefficient__attr_""abs""__coeff_1",0.17627095839638018,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",19.124546912272148,value__time_reversal_asymmetry_statistic__lag_1,139.68299691127424
6,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.17287950783948913,"value__fft_coefficient__attr_""angle""__coeff_51",17.26978099570785,value__time_reversal_asymmetry_statistic__lag_3,139.38012331405565
7,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.16912609947996704,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",16.504101196271808,value__time_reversal_asymmetry_statistic__lag_2,134.28646416918718
8,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.16799705069277948,"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",13.94077021130313,value__friedrich_coefficients__coeff_1__m_3__r_30,77.29065414548931
9,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.1678584194793573,"value__linear_trend__attr_""rvalue""",13.783631197797108,value__friedrich_coefficients__coeff_2__m_3__r_30,67.86049245767686
10,value__index_mass_quantile__q_0.6,0.1672713543374975,"value__fft_coefficient__attr_""angle""__coeff_5",13.298974301149494,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",66.57136577856498
11,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.16278051647110425,value__longest_strike_below_mean,13.07555443619277,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",65.13435733866409
12,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.16201299938116875,"value__fft_coefficient__attr_""angle""__coeff_30",12.870501796831125,"value__fft_coefficient__attr_""real""__coeff_24",53.86373313167626
13,"value__fft_coefficient__attr_""angle""__coeff_40",0.15616217242352137,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",12.406882472437259,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",50.188600237608014
14,"value__fft_coefficient__attr_""imag""__coeff_87",0.15512339004912246,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",12.405879716641532,value__index_mass_quantile__q_0.7,47.939240506329206
15,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.15345242064808007,value__binned_entropy__max_bins_10,11.652779029868949,"value__fft_coefficient__attr_""real""__coeff_34",46.44851729194243
16,"value__fft_coefficient__attr_""angle""__coeff_17",0.15085328800504771,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",11.61962800221694,"value__fft_coefficient__attr_""imag""__coeff_79",43.465213062062595
17,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.14090003450324473,value__sample_entropy,11.57867311736228,"value__fft_coefficient__attr_""real""__coeff_75",42.3468379461364
18,"value__fft_coefficient__attr_""imag""__coeff_38",0.1358420101473281,"value__fft_coefficient__attr_""imag""__coeff_67",11.557243984901161,value__index_mass_quantile__q_0.8,41.93103448275862
19,value__index_mass_quantile__q_0.3,0.13550852263828195,"value__fft_coefficient__attr_""angle""__coeff_8",11.428863671919581,"value__fft_coefficient__attr_""imag""__coeff_84",40.13171612803224
20,value__index_mass_quantile__q_0.1,0.13529955412542005,"value__fft_coefficient__attr_""imag""__coeff_2",11.180285101332693,value__index_mass_quantile__q_0.1,38.79999999999998
21,value__longest_strike_above_mean,0.1344252195876563,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",11.076108836028062,value__index_mass_quantile__q_0.9,38.02857142857127
22,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.12917715535304675,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",10.853557018937245,value__index_mass_quantile__q_0.6,37.09629629629626
23,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.12878365574626427,"value__fft_coefficient__attr_""angle""__coeff_22",10.826539553331388,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,35.61901159176308
