source,approach,n_features,split,accuracy
majority_rank_ranked_features,majority_voting,1,train,0.3688394276629571
majority_rank_ranked_features,majority_voting,1,val,0.34810126582278483
majority_rank_ranked_features,majority_voting,1,test,0.2462686567164179
majority_rank_ranked_features,majority_voting,2,train,0.5015898251192369
majority_rank_ranked_features,majority_voting,2,val,0.37658227848101267
majority_rank_ranked_features,majority_voting,2,test,0.27611940298507465
majority_rank_ranked_features,majority_voting,3,train,0.5151033386327504
majority_rank_ranked_features,majority_voting,3,val,0.37658227848101267
majority_rank_ranked_features,majority_voting,3,test,0.2537313432835821
majority_rank_ranked_features,majority_voting,4,train,0.5325914149443561
majority_rank_ranked_features,majority_voting,4,val,0.3860759493670886
majority_rank_ranked_features,majority_voting,4,test,0.2873134328358209
majority_rank_ranked_features,majority_voting,5,train,0.5302066772655007
majority_rank_ranked_features,majority_voting,5,val,0.38924050632911394
majority_rank_ranked_features,majority_voting,5,test,0.26492537313432835
majority_rank_ranked_features,majority_voting,6,train,0.5389507154213037
majority_rank_ranked_features,majority_voting,6,val,0.40822784810126583
majority_rank_ranked_features,majority_voting,6,test,0.31716417910447764
majority_rank_ranked_features,majority_voting,7,train,0.5437201907790143
majority_rank_ranked_features,majority_voting,7,val,0.4272151898734177
majority_rank_ranked_features,majority_voting,7,test,0.3246268656716418
majority_rank_ranked_features,majority_voting,8,train,0.5818759936406995
majority_rank_ranked_features,majority_voting,8,val,0.43037974683544306
majority_rank_ranked_features,majority_voting,8,test,0.3283582089552239
majority_rank_ranked_features,majority_voting,9,train,0.5707472178060413
majority_rank_ranked_features,majority_voting,9,val,0.4240506329113924
majority_rank_ranked_features,majority_voting,9,test,0.34701492537313433
majority_rank_ranked_features,majority_voting,10,train,0.6104928457869634
majority_rank_ranked_features,majority_voting,10,val,0.41139240506329117
majority_rank_ranked_features,majority_voting,10,test,0.35447761194029853
majority_rank_ranked_features,majority_voting,11,train,0.6232114467408585
majority_rank_ranked_features,majority_voting,11,val,0.439873417721519
majority_rank_ranked_features,majority_voting,11,test,0.35074626865671643
majority_rank_ranked_features,majority_voting,12,train,0.6081081081081081
majority_rank_ranked_features,majority_voting,12,val,0.4177215189873418
majority_rank_ranked_features,majority_voting,12,test,0.3656716417910448
majority_rank_ranked_features,majority_voting,13,train,0.6168521462639109
majority_rank_ranked_features,majority_voting,13,val,0.4525316455696203
majority_rank_ranked_features,majority_voting,13,test,0.3619402985074627
majority_rank_ranked_features,majority_voting,14,train,0.6168521462639109
majority_rank_ranked_features,majority_voting,14,val,0.439873417721519
majority_rank_ranked_features,majority_voting,14,test,0.3582089552238806
majority_rank_ranked_features,majority_voting,15,train,0.6112877583465819
majority_rank_ranked_features,majority_voting,15,val,0.43670886075949367
majority_rank_ranked_features,majority_voting,15,test,0.3805970149253731
majority_rank_ranked_features,majority_voting,16,train,0.6112877583465819
majority_rank_ranked_features,majority_voting,16,val,0.41139240506329117
majority_rank_ranked_features,majority_voting,16,test,0.3694029850746269
majority_rank_ranked_features,majority_voting,17,train,0.6089030206677265
majority_rank_ranked_features,majority_voting,17,val,0.43354430379746833
majority_rank_ranked_features,majority_voting,17,test,0.3619402985074627
majority_rank_ranked_features,majority_voting,18,train,0.6200317965023847
