source,approach,n_features,split,accuracy
mrmr_ranked_features,mutual_info,1,train,0.3688394276629571
mrmr_ranked_features,mutual_info,1,val,0.34810126582278483
mrmr_ranked_features,mutual_info,1,test,0.2462686567164179
mrmr_ranked_features,mutual_info,2,train,0.5659777424483307
mrmr_ranked_features,mutual_info,2,val,0.5
mrmr_ranked_features,mutual_info,2,test,0.373134328358209
mrmr_ranked_features,mutual_info,3,train,0.6255961844197139
mrmr_ranked_features,mutual_info,3,val,0.5791139240506329
mrmr_ranked_features,mutual_info,3,test,0.4962686567164179
mrmr_ranked_features,mutual_info,4,train,0.6224165341812401
mrmr_ranked_features,mutual_info,4,val,0.5727848101265823
mrmr_ranked_features,mutual_info,4,test,0.4962686567164179
mrmr_ranked_features,mutual_info,5,train,0.651033386327504
mrmr_ranked_features,mutual_info,5,val,0.5537974683544303
mrmr_ranked_features,mutual_info,5,test,0.4925373134328358
mrmr_ranked_features,mutual_info,6,train,0.651033386327504
mrmr_ranked_features,mutual_info,6,val,0.5537974683544303
mrmr_ranked_features,mutual_info,6,test,0.4925373134328358
mrmr_ranked_features,mutual_info,7,train,0.6645468998410174
mrmr_ranked_features,mutual_info,7,val,0.569620253164557
mrmr_ranked_features,mutual_info,7,test,0.4962686567164179
mrmr_ranked_features,mutual_info,8,train,0.6748807631160573
mrmr_ranked_features,mutual_info,8,val,0.5727848101265823
mrmr_ranked_features,mutual_info,8,test,0.48880597014925375
mrmr_ranked_features,mutual_info,9,train,0.6804451510333863
mrmr_ranked_features,mutual_info,9,val,0.5886075949367089
mrmr_ranked_features,mutual_info,9,test,0.48134328358208955
mrmr_ranked_features,mutual_info,10,train,0.6915739268680445
mrmr_ranked_features,mutual_info,10,val,0.5854430379746836
mrmr_ranked_features,mutual_info,10,test,0.5149253731343284
mrmr_ranked_features,mutual_info,11,train,0.7019077901430842
mrmr_ranked_features,mutual_info,11,val,0.5854430379746836
mrmr_ranked_features,mutual_info,11,test,0.47761194029850745
mrmr_ranked_features,mutual_info,12,train,0.7289348171701113
mrmr_ranked_features,mutual_info,12,val,0.5854430379746836
mrmr_ranked_features,mutual_info,12,test,0.5
mrmr_ranked_features,mutual_info,13,train,0.7289348171701113
mrmr_ranked_features,mutual_info,13,val,0.5854430379746836
mrmr_ranked_features,mutual_info,13,test,0.5
mrmr_ranked_features,mutual_info,14,train,0.7154213036565977
mrmr_ranked_features,mutual_info,14,val,0.5917721518987342
mrmr_ranked_features,mutual_info,14,test,0.5485074626865671
mrmr_ranked_features,mutual_info,15,train,0.7273449920508744
mrmr_ranked_features,mutual_info,15,val,0.6012658227848101
mrmr_ranked_features,mutual_info,15,test,0.5485074626865671
mrmr_ranked_features,mutual_info,16,train,0.7376788553259142
mrmr_ranked_features,mutual_info,16,val,0.6012658227848101
mrmr_ranked_features,mutual_info,16,test,0.5223880597014925
mrmr_ranked_features,mutual_info,17,train,0.7329093799682035
mrmr_ranked_features,mutual_info,17,val,0.5917721518987342
mrmr_ranked_features,mutual_info,17,test,0.5485074626865671
mrmr_ranked_features,mutual_info,18,train,0.733704292527822
mrmr_ranked_features,mutual_info,18,val,0.6044303797468354
mrmr_ranked_features,mutual_info,18,test,0.5447761194029851
mrmr_ranked_features,mutual_info,19,train,0.7408585055643879
mrmr_ranked_features,mutual_info,19,val,0.6012658227848101
mrmr_ranked_features,mutual_info,19,test,0.5373134328358209
mrmr_ranked_features,mutual_info,20,train,0.7488076311605724
mrmr_ranked_features,mutual_info,20,val,0.6044303797468354
mrmr_ranked_features,mutual_info,20,test,0.5410447761194029
mrmr_ranked_features,mutual_info,21,train,0.7559618441971383
mrmr_ranked_features,mutual_info,21,val,0.6107594936708861
mrmr_ranked_features,mutual_info,21,test,0.5485074626865671
mrmr_ranked_features,mutual_info,22,train,0.7503974562798092
mrmr_ranked_features,mutual_info,22,val,0.6139240506329114
mrmr_ranked_features,mutual_info,22,test,0.5335820895522388
mrmr_ranked_features,mutual_info,23,train,0.7511923688394276
mrmr_ranked_features,mutual_info,23,val,0.6044303797468354
mrmr_ranked_features,mutual_info,23,test,0.5410447761194029
mrmr_ranked_features,mutual_info,24,train,0.7503974562798092
mrmr_ranked_features,mutual_info,24,val,0.6265822784810127
mrmr_ranked_features,mutual_info,24,test,0.5261194029850746
mrmr_ranked_features,mutual_info,25,train,0.7543720190779014
mrmr_ranked_features,mutual_info,25,val,0.620253164556962
mrmr_ranked_features,mutual_info,25,test,0.5186567164179104
mrmr_ranked_features,mutual_info,26,train,0.7591414944356121
mrmr_ranked_features,mutual_info,26,val,0.6044303797468354
mrmr_ranked_features,mutual_info,26,test,0.5223880597014925
mrmr_ranked_features,mutual_info,27,train,0.7527821939586645
mrmr_ranked_features,mutual_info,27,val,0.6392405063291139
mrmr_ranked_features,mutual_info,27,test,0.5447761194029851
mrmr_ranked_features,mutual_info,28,train,0.7503974562798092
mrmr_ranked_features,mutual_info,28,val,0.6329113924050633
mrmr_ranked_features,mutual_info,28,test,0.5447761194029851
mrmr_ranked_features,mutual_info,29,train,0.7591414944356121
mrmr_ranked_features,mutual_info,29,val,0.6518987341772152
mrmr_ranked_features,mutual_info,29,test,0.5447761194029851
mrmr_ranked_features,mutual_info,30,train,0.7623211446740858
mrmr_ranked_features,mutual_info,30,val,0.629746835443038
mrmr_ranked_features,mutual_info,30,test,0.5373134328358209
mrmr_ranked_features,mutual_info,31,train,0.760731319554849
mrmr_ranked_features,mutual_info,31,val,0.6424050632911392
mrmr_ranked_features,mutual_info,31,test,0.5559701492537313
mrmr_ranked_features,mutual_info,32,train,0.7519872813990461
mrmr_ranked_features,mutual_info,32,val,0.6392405063291139
mrmr_ranked_features,mutual_info,32,test,0.5671641791044776
mrmr_ranked_features,mutual_info,33,train,0.7583465818759937
mrmr_ranked_features,mutual_info,33,val,0.6170886075949367
mrmr_ranked_features,mutual_info,33,test,0.5522388059701493
mrmr_ranked_features,mutual_info,34,train,0.7623211446740858
mrmr_ranked_features,mutual_info,34,val,0.6424050632911392
mrmr_ranked_features,mutual_info,34,test,0.5559701492537313
mrmr_ranked_features,mutual_info,35,train,0.7639109697933227
mrmr_ranked_features,mutual_info,35,val,0.620253164556962
mrmr_ranked_features,mutual_info,35,test,0.5597014925373134
mrmr_ranked_features,mutual_info,36,train,0.7623211446740858
mrmr_ranked_features,mutual_info,36,val,0.6329113924050633
mrmr_ranked_features,mutual_info,36,test,0.5746268656716418
mrmr_ranked_features,mutual_info,37,train,0.7670906200317965
mrmr_ranked_features,mutual_info,37,val,0.6265822784810127
mrmr_ranked_features,mutual_info,37,test,0.5634328358208955
mrmr_ranked_features,mutual_info,38,train,0.7821939586645469
mrmr_ranked_features,mutual_info,38,val,0.6265822784810127
mrmr_ranked_features,mutual_info,38,test,0.5895522388059702
mrmr_ranked_features,mutual_info,39,train,0.7821939586645469
mrmr_ranked_features,mutual_info,39,val,0.6265822784810127
mrmr_ranked_features,mutual_info,39,test,0.5895522388059702
mrmr_ranked_features,mutual_info,40,train,0.7774244833068362
mrmr_ranked_features,mutual_info,40,val,0.620253164556962
mrmr_ranked_features,mutual_info,40,test,0.5746268656716418
mrmr_ranked_features,mutual_info,41,train,0.7774244833068362
mrmr_ranked_features,mutual_info,41,val,0.6360759493670886
mrmr_ranked_features,mutual_info,41,test,0.5708955223880597
mrmr_ranked_features,mutual_info,42,train,0.7774244833068362
mrmr_ranked_features,mutual_info,42,val,0.6424050632911392
mrmr_ranked_features,mutual_info,42,test,0.582089552238806
mrmr_ranked_features,mutual_info,43,train,0.7774244833068362
mrmr_ranked_features,mutual_info,43,val,0.6360759493670886
mrmr_ranked_features,mutual_info,43,test,0.582089552238806
mrmr_ranked_features,mutual_info,44,train,0.78060413354531
mrmr_ranked_features,mutual_info,44,val,0.6392405063291139
mrmr_ranked_features,mutual_info,44,test,0.5783582089552238
mrmr_ranked_features,mutual_info,45,train,0.7837837837837838
mrmr_ranked_features,mutual_info,45,val,0.6392405063291139
mrmr_ranked_features,mutual_info,45,test,0.5671641791044776
mrmr_ranked_features,mutual_info,46,train,0.775039745627981
mrmr_ranked_features,mutual_info,46,val,0.6360759493670886
mrmr_ranked_features,mutual_info,46,test,0.582089552238806
mrmr_ranked_features,mutual_info,47,train,0.7782193958664547
mrmr_ranked_features,mutual_info,47,val,0.6487341772151899
mrmr_ranked_features,mutual_info,47,test,0.5708955223880597
mrmr_ranked_features,mutual_info,48,train,0.78060413354531
mrmr_ranked_features,mutual_info,48,val,0.6265822784810127
mrmr_ranked_features,mutual_info,48,test,0.5746268656716418
mrmr_ranked_features,mutual_info,49,train,0.7861685214626392
mrmr_ranked_features,mutual_info,49,val,0.6265822784810127
mrmr_ranked_features,mutual_info,49,test,0.5746268656716418
mrmr_ranked_features,mutual_info,50,train,0.787758346581876
mrmr_ranked_features,mutual_info,50,val,0.6455696202531646
mrmr_ranked_features,mutual_info,50,test,0.5597014925373134
