source,approach,n_features,split,accuracy
multivariate_ranked_features,mrmr_mean,1,train,0.3688394276629571
multivariate_ranked_features,mrmr_mean,1,val,0.34810126582278483
multivariate_ranked_features,mrmr_mean,1,test,0.2462686567164179
multivariate_ranked_features,mrmr_mean,2,train,0.5659777424483307
multivariate_ranked_features,mrmr_mean,2,val,0.5
multivariate_ranked_features,mrmr_mean,2,test,0.373134328358209
multivariate_ranked_features,mrmr_mean,3,train,0.6255961844197139
multivariate_ranked_features,mrmr_mean,3,val,0.5791139240506329
multivariate_ranked_features,mrmr_mean,3,test,0.4962686567164179
multivariate_ranked_features,mrmr_mean,4,train,0.6343402225755167
multivariate_ranked_features,mrmr_mean,4,val,0.5727848101265823
multivariate_ranked_features,mrmr_mean,4,test,0.5
multivariate_ranked_features,mrmr_mean,5,train,0.6319554848966613
multivariate_ranked_features,mrmr_mean,5,val,0.5569620253164557
multivariate_ranked_features,mrmr_mean,5,test,0.4925373134328358
multivariate_ranked_features,mrmr_mean,6,train,0.6422893481717011
multivariate_ranked_features,mrmr_mean,6,val,0.5474683544303798
multivariate_ranked_features,mrmr_mean,6,test,0.5
multivariate_ranked_features,mrmr_mean,7,train,0.6422893481717011
multivariate_ranked_features,mrmr_mean,7,val,0.5474683544303798
multivariate_ranked_features,mrmr_mean,7,test,0.5
multivariate_ranked_features,mrmr_mean,8,train,0.6542130365659777
multivariate_ranked_features,mrmr_mean,8,val,0.5379746835443038
multivariate_ranked_features,mrmr_mean,8,test,0.4626865671641791
multivariate_ranked_features,mrmr_mean,9,train,0.685214626391097
multivariate_ranked_features,mrmr_mean,9,val,0.5569620253164557
multivariate_ranked_features,mrmr_mean,9,test,0.4701492537313433
multivariate_ranked_features,mrmr_mean,10,train,0.6883942766295708
multivariate_ranked_features,mrmr_mean,10,val,0.5632911392405063
multivariate_ranked_features,mrmr_mean,10,test,0.48880597014925375
multivariate_ranked_features,mrmr_mean,11,train,0.7011128775834659
multivariate_ranked_features,mrmr_mean,11,val,0.5759493670886076
multivariate_ranked_features,mrmr_mean,11,test,0.48507462686567165
multivariate_ranked_features,mrmr_mean,12,train,0.7042925278219396
multivariate_ranked_features,mrmr_mean,12,val,0.5917721518987342
multivariate_ranked_features,mrmr_mean,12,test,0.5223880597014925
multivariate_ranked_features,mrmr_mean,13,train,0.7042925278219396
multivariate_ranked_features,mrmr_mean,13,val,0.5917721518987342
multivariate_ranked_features,mrmr_mean,13,test,0.5223880597014925
multivariate_ranked_features,mrmr_mean,14,train,0.7154213036565977
multivariate_ranked_features,mrmr_mean,14,val,0.6107594936708861
multivariate_ranked_features,mrmr_mean,14,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,15,train,0.7170111287758346
multivariate_ranked_features,mrmr_mean,15,val,0.6075949367088608
multivariate_ranked_features,mrmr_mean,15,test,0.5410447761194029
multivariate_ranked_features,mrmr_mean,16,train,0.7289348171701113
multivariate_ranked_features,mrmr_mean,16,val,0.6075949367088608
multivariate_ranked_features,mrmr_mean,16,test,0.5447761194029851
multivariate_ranked_features,mrmr_mean,17,train,0.7273449920508744
multivariate_ranked_features,mrmr_mean,17,val,0.6012658227848101
multivariate_ranked_features,mrmr_mean,17,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,18,train,0.7281399046104928
multivariate_ranked_features,mrmr_mean,18,val,0.6044303797468354
multivariate_ranked_features,mrmr_mean,18,test,0.5298507462686567
multivariate_ranked_features,mrmr_mean,19,train,0.7432432432432432
multivariate_ranked_features,mrmr_mean,19,val,0.6012658227848101
multivariate_ranked_features,mrmr_mean,19,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,20,train,0.7543720190779014
multivariate_ranked_features,mrmr_mean,20,val,0.6075949367088608
multivariate_ranked_features,mrmr_mean,20,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,21,train,0.7591414944356121
multivariate_ranked_features,mrmr_mean,21,val,0.5981012658227848
multivariate_ranked_features,mrmr_mean,21,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,22,train,0.7543720190779014
multivariate_ranked_features,mrmr_mean,22,val,0.5981012658227848
multivariate_ranked_features,mrmr_mean,22,test,0.5522388059701493
multivariate_ranked_features,mrmr_mean,23,train,0.753577106518283
