order,time,runtime,pipeline,default_hp,f1_macro,accuracy,neg_log_loss,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
34,1783344741.8918226,20.24987506866455,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0001618374187,
                                                learning_rate=0.1495571936012,
                                                max_iter=512,
                                                max_leaf_nodes=422,
                                                min_samples_leaf=42,
                                                n_iter_no_change=6,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.4003,0.5094,-3.3007,False,"{'f1_macro': [0.48824173103584867, 0.4032648188518634, 0.3606232404436641, 0.4198924480748716, 0.32582363235182227, 0.40421854129907825], 'accuracy': [0.5892857142857143, 0.5128865979381443, 0.4635416666666667, 0.5179640718562875, 0.4807692307692308, 0.49193548387096775], 'neg_log_loss': [-3.240890640881197, -2.8867495058250583, -2.759699460328759, -3.7581307857474653, -4.280322492817329, -2.878197927467393]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 0.0001618374187, 'learning_rate': 0.1495571936012, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 422, 'min_samples_leaf': 42, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 6}"
40,1783345401.8128226,7.2097907066345215,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=6.45457871e-05,
                                                learning_rate=0.4714900091804,
                                                max_iter=512,
                                                max_leaf_nodes=233,
                                                min_samples_leaf=96,
                                                n_iter_no_change=8,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.3937,0.5015,-3.93,False,"{'f1_macro': [0.4736649797501724, 0.42035800529516165, 0.3572784450201216, 0.3684930882299303, 0.3249888423697245, 0.4171448985838131], 'accuracy': [0.5803571428571429, 0.5154639175257731, 0.4296875, 0.5089820359281437, 0.4846153846153846, 0.4899193548387097], 'neg_log_loss': [-4.156995055337627, -3.359767399577723, -3.5320054971212484, -4.023029747620653, -5.2065242188448195, -3.3015279688549173]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 6.45457871e-05, 'learning_rate': 0.4714900091804, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 233, 'min_samples_leaf': 96, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 8}"
35,1783344762.1445596,96.14668369293213,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=9.2486e-09,
                                                learning_rate=0.0394389510066,
                                                max_iter=512,
                                                max_leaf_nodes=1178,
                                                min_samples_leaf=24,
                                                n_iter_no_change=4,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.3933,0.5116,-3.033,False,"{'f1_macro': [0.468845228228994, 0.3557794038824544, 0.3653449956604782, 0.4376633071605638, 0.3156656470886164, 0.41633541700995325], 'accuracy': [0.5744047619047619, 0.4948453608247423, 0.4661458333333333, 0.5299401197604791, 0.49230769230769234, 0.5120967741935484], 'neg_log_loss': [-2.9753697992010695, -2.7650025306074064, -2.5999968725597227, -3.4385457757106823, -3.8037188518323277, -2.6156228314783077]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 9.2486e-09, 'learning_rate': 0.0394389510066, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 1178, 'min_samples_leaf': 24, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 4}"
39,1783345267.1740599,134.63623929023743,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.636e-10,
                                                learning_rate=0.0318176472413,
                                                max_iter=512, max_leaf_nodes=62,
                                                min_samples_leaf=19,
                                                n_iter_no_change=16,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.3897,0.5107,-2.9529,False,"{'f1_macro': [0.47584907795114234, 0.35084400775052804, 0.36387328999475554, 0.42179985601151904, 0.3137332147893801, 0.4122580150785522], 'accuracy': [0.5892857142857143, 0.5, 0.4635416666666667, 0.5149700598802395, 0.48846153846153845, 0.5080645161290323], 'neg_log_loss': [-2.8695307986577463, -2.6914690900199187, -2.5361208215041002, -3.32971528475938, -3.676159986620741, -2.6145863734371693]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 1.636e-10, 'learning_rate': 0.0318176472413, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 62, 'min_samples_leaf': 19, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 16}"
31,1783344254.959195,83.87129974365234,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.509027696337,
                                                learning_rate=0.0549939974141,
                                                max_iter=512,
                                                max_leaf_nodes=202,
                                                min_samples_leaf=35,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.3796,0.5012,-2.1713,False,"{'f1_macro': [0.41690650619222047, 0.38393324728010325, 0.35898028829683504, 0.42298598802177073, 0.30695421546325163, 0.38768755000160243], 'accuracy': [0.5565476190476191, 0.5, 0.4609375, 0.5209580838323353, 0.47307692307692306, 0.4959677419354839], 'neg_log_loss': [-2.1361502702140474, -1.8609713687564, -1.9253273370195705, -2.3058093783619347, -2.8665332680849387, -1.9329889101690414]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'off', 'l2_regularization': 0.509027696337, 'learning_rate': 0.0549939974141, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 202, 'min_samples_leaf': 35, 'scoring': 'loss', 'tol': 1e-07}"
2,1783343506.529211,31.77570343017578,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",True,0.3717,0.5046,-2.6094,True,"{'f1_macro': [0.440094176183945, 0.3574922853011532, 0.3260549450964101, 0.40999455337690627, 0.31125076071019775, 0.38551767131498843], 'accuracy': [0.5714285714285714, 0.5025773195876289, 0.4505208333333333, 0.5089820359281437, 0.49230769230769234, 0.5020161290322581], 'neg_log_loss': [-2.5330923983949214, -2.382616648148851, -2.231937279641182, -2.907057061072611, -3.2611798919187147, -2.3406461510688445]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
22,1783343903.0608838,29.828967809677124,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', HistGradientBoostingClassifier())])",True,0.3717,0.5046,-2.6094,False,"{'f1_macro': [0.440094176183945, 0.3574922853011532, 0.3260549450964101, 0.40999455337690627, 0.31125076071019775, 0.38551767131498843], 'accuracy': [0.5714285714285714, 0.5025773195876289, 0.4505208333333333, 0.5089820359281437, 0.49230769230769234, 0.5020161290322581], 'neg_log_loss': [-2.5330923983949214, -2.382616648148851, -2.231937279641182, -2.907057061072611, -3.2611798919187147, -2.3406461510688445]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,
32,1783344338.8328173,398.2934968471527,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.000206424001,
                                                learning_rate=0.0135516346509,
                                                max_iter=512,
                                                max_leaf_nodes=229,
                                                min_samples_leaf=2,
                                                n_iter_no_change=15,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.3693,0.5078,-2.8658,False,"{'f1_macro': [0.4098836598836599, 0.4063561916911034, 0.33638479111040087, 0.3279216379826136, 0.32250243494947206, 0.4129973204892911], 'accuracy': [0.5654761904761905, 0.5180412371134021, 0.4427083333333333, 0.5059880239520959, 0.49615384615384617, 0.5181451612903226], 'neg_log_loss': [-2.7096467098197508, -2.6231063549467577, -2.8099911109025366, -3.0299110077272564, -3.2240435422420286, -2.7978784607101153]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 0.000206424001, 'learning_rate': 0.0135516346509, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 229, 'min_samples_leaf': 2, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 15}"
37,1783344863.322443,398.13999485969543,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0089586971336,
                                                learning_rate=0.0100197293502,
                                                max_iter=512, max_leaf_nodes=69,
                                                min_samples_leaf=3,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.3682,0.5088,-2.1666,False,"{'f1_macro': [0.42325400876185615, 0.3990640096768948, 0.32568444236285027, 0.365676525994834, 0.3276935954384571, 0.36791619038959467], 'accuracy': [0.5744047619047619, 0.5128865979381443, 0.4635416666666667, 0.5119760479041916, 0.49615384615384617, 0.4939516129032258], 'neg_log_loss': [-2.0980685399189785, -1.9633753706001056, -2.044151637835751, -2.3042650992803884, -2.527825139450504, -2.0616198098868312]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 0.0089586971336, 'learning_rate': 0.0100197293502, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 69, 'min_samples_leaf': 3, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 1}"
0,1783343464.9733233,2.3888485431671143,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",True,0.3669,0.5068,-1.4051,True,"{'f1_macro': [0.43079138278251294, 0.36021748750872984, 0.38414975540778107, 0.28907455260722, 0.31658327582240625, 0.4204365622268431], 'accuracy': [0.5744047619047619, 0.49226804123711343, 0.4973958333333333, 0.4820359281437126, 0.4846153846153846, 0.5100806451612904], 'neg_log_loss': [-1.1712713375802792, -1.374613593883877, -1.0534648820679269, -1.2237321286746259, -2.2323364133240937, -1.3752353570185598]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
