source,approach,n_features,split,accuracy,f1_score
multivariate_ranked_features,mrmr_mean,48,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,49,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,50,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,51,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,53,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,54,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,55,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,56,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,57,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,58,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,59,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,60,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,61,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,62,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,63,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,64,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,65,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,66,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,67,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,68,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,69,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,70,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,71,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,72,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,73,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,74,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,75,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,76,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,77,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,78,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,79,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,80,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,81,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,82,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,83,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,84,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,85,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,86,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,87,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,88,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,89,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,90,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,91,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,92,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,93,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,94,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,95,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,96,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,97,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,98,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,99,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,100,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,101,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,102,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,103,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,104,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,105,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,106,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,107,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,108,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,109,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,110,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,111,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,112,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,113,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,114,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,115,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,116,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,117,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,118,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,119,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,120,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,121,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,122,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,123,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,124,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,125,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,126,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,127,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,128,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,129,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,130,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,131,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,132,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,133,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,134,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,135,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,136,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,137,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,138,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,139,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,140,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,141,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,142,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,143,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,144,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,145,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,146,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,147,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,148,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,149,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,150,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,151,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,152,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,153,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,154,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,155,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,156,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,157,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,158,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,159,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,160,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,161,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,162,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,163,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,164,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,165,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,166,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,167,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,168,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,169,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,170,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,171,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,172,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,173,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,174,train,1.0,1.0
multivariate_ranked_features,mrmr_mean,175,train,1.0,1.0
