source,approach,n_features,split,accuracy,f1_score
univariate_ranked_features,mutual_info,1,train,0.7945619335347432,0.7945600584154802
univariate_ranked_features,mutual_info,1,val,0.5067567567567568,0.504925995509325
univariate_ranked_features,mutual_info,1,test,0.4485294117647059,0.4448979591836735
univariate_ranked_features,mutual_info,2,train,0.6344410876132931,0.6331015655774499
univariate_ranked_features,mutual_info,2,val,0.4527027027027027,0.4470224641357996
univariate_ranked_features,mutual_info,2,test,0.47794117647058826,0.4731270802640912
univariate_ranked_features,mutual_info,3,train,0.5649546827794562,0.5276676708419217
univariate_ranked_features,mutual_info,3,val,0.5202702702702703,0.4918516369263504
univariate_ranked_features,mutual_info,3,test,0.5367647058823529,0.4853126689493602
univariate_ranked_features,mutual_info,4,train,0.5966767371601208,0.5905467669563083
univariate_ranked_features,mutual_info,4,val,0.5540540540540541,0.5511029411764705
univariate_ranked_features,mutual_info,4,test,0.4264705882352941,0.4080357142857143
univariate_ranked_features,mutual_info,5,train,0.6525679758308157,0.643425884292566
univariate_ranked_features,mutual_info,5,val,0.6148648648648649,0.6118702553485162
univariate_ranked_features,mutual_info,5,test,0.6029411764705882,0.5764705882352941
univariate_ranked_features,mutual_info,6,train,0.6797583081570997,0.6759248141135177
univariate_ranked_features,mutual_info,6,val,0.6148648648648649,0.6140013726835964
univariate_ranked_features,mutual_info,6,test,0.6102941176470589,0.5966649879693358
univariate_ranked_features,mutual_info,7,train,0.716012084592145,0.7106643356643356
univariate_ranked_features,mutual_info,7,val,0.5743243243243243,0.5727443522888696
univariate_ranked_features,mutual_info,7,test,0.625,0.6139589246952746
univariate_ranked_features,mutual_info,8,train,0.9712990936555891,0.9712843506788518
univariate_ranked_features,mutual_info,8,val,0.5878378378378378,0.5855483634026535
univariate_ranked_features,mutual_info,8,test,0.5955882352941176,0.5906080674292595
univariate_ranked_features,mutual_info,9,train,0.9788519637462235,0.9788488748915971
univariate_ranked_features,mutual_info,9,val,0.6283783783783784,0.6263140981499334
univariate_ranked_features,mutual_info,9,test,0.5955882352941176,0.5734245794126034
univariate_ranked_features,mutual_info,10,train,0.8202416918429003,0.8194072243529054
univariate_ranked_features,mutual_info,10,val,0.6216216216216216,0.6205128205128205
univariate_ranked_features,mutual_info,10,test,0.5808823529411765,0.557912745936698
univariate_ranked_features,mutual_info,11,train,0.8716012084592145,0.8710051602520752
univariate_ranked_features,mutual_info,11,val,0.6148648648648649,0.6118702553485162
univariate_ranked_features,mutual_info,11,test,0.5808823529411765,0.557912745936698
univariate_ranked_features,mutual_info,12,train,0.9848942598187311,0.9848930188403681
univariate_ranked_features,mutual_info,12,val,0.5878378378378378,0.580931160933946
univariate_ranked_features,mutual_info,12,test,0.5661764705882353,0.5483762030731131
univariate_ranked_features,mutual_info,13,train,0.8806646525679759,0.880060086919628
univariate_ranked_features,mutual_info,13,val,0.6148648648648649,0.6069514979266646
univariate_ranked_features,mutual_info,13,test,0.5588235294117647,0.5170454545454546
univariate_ranked_features,mutual_info,14,train,0.9108761329305136,0.910596852646638
univariate_ranked_features,mutual_info,14,val,0.6148648648648649,0.6097154753643304
univariate_ranked_features,mutual_info,14,test,0.5882352941176471,0.5607843137254902
univariate_ranked_features,mutual_info,15,train,0.8655589123867069,0.8647562338887576
univariate_ranked_features,mutual_info,15,val,0.6013513513513513,0.5946711228705379
univariate_ranked_features,mutual_info,15,test,0.5808823529411765,0.5546619176193486
univariate_ranked_features,mutual_info,16,train,0.8897280966767371,0.8892161964517822
univariate_ranked_features,mutual_info,16,val,0.6013513513513513,0.59721389362978
univariate_ranked_features,mutual_info,16,test,0.6176470588235294,0.5888372093023255
univariate_ranked_features,mutual_info,17,train,0.9380664652567976,0.9380255962370563
univariate_ranked_features,mutual_info,17,val,0.6283783783783784,0.6263140981499334
univariate_ranked_features,mutual_info,17,test,0.5441176470588235,0.5294642857142857
univariate_ranked_features,mutual_info,18,train,0.959214501510574,0.9591465435470784
univariate_ranked_features,mutual_info,18,val,0.5608108108108109,0.5499415204678362
univariate_ranked_features,mutual_info,18,test,0.6102941176470589,0.604108309990663
univariate_ranked_features,mutual_info,19,train,0.9305135951661632,0.9303298191668496
univariate_ranked_features,mutual_info,19,val,0.5743243243243243,0.5686328938237335
univariate_ranked_features,mutual_info,19,test,0.6102941176470589,0.5943040468283898
univariate_ranked_features,mutual_info,20,train,1.0,1.0
univariate_ranked_features,mutual_info,20,val,0.5337837837837838,0.5301587301587302
univariate_ranked_features,mutual_info,20,test,0.5955882352941176,0.5891690009337067
univariate_ranked_features,mutual_info,21,train,1.0,1.0
univariate_ranked_features,mutual_info,21,val,0.527027027027027,0.5227565874332043
univariate_ranked_features,mutual_info,21,test,0.6029411764705882,0.5986885245901639
univariate_ranked_features,mutual_info,22,train,1.0,1.0
univariate_ranked_features,mutual_info,22,val,0.5405405405405406,0.5351071692535108
univariate_ranked_features,mutual_info,22,test,0.6029411764705882,0.5998256320836965
univariate_ranked_features,mutual_info,23,train,1.0,1.0
univariate_ranked_features,mutual_info,23,val,0.5743243243243243,0.5710144927536231
