rank,majority_voting,rank_aggregation
1,value__absolute_sum_of_changes,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4"
2,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0"
3,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4"
4,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2"
5,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
6,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0"
7,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6"
8,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0"
9,value__cid_ce__normalize_False,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0"
10,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0"
11,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",value__absolute_sum_of_changes
12,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
13,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0"
14,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0"
15,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",value__mean_abs_change
16,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0"
17,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4"
