feature,count
value__absolute_sum_of_changes,3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",3
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",3
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",3
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",3
value__cid_ce__normalize_False,3
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",3
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",3
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",3
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",3
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",3
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",3
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",3
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",3
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",3
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",3
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",3
value__mean_abs_change,3
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",3
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",2
"value__fft_coefficient__attr_""abs""__coeff_98",2
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",2
"value__fft_aggregated__aggtype_""variance""",2
"value__fft_aggregated__aggtype_""centroid""",2
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",2
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",2
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",2
