rank,mutual_info,anova,chi2
1,value__absolute_sum_of_changes,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",value__variance_larger_than_standard_deviation
2,value__variation_coefficient,"value__fft_coefficient__attr_""abs""__coeff_1","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0"
3,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__fft_aggregated__aggtype_""centroid""",value__range_count__max_1__min_-1
4,value__mean_abs_change,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4"
5,"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min"""
6,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0"
7,"value__fft_coefficient__attr_""imag""__coeff_43","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",value__large_standard_deviation__r_0.25
8,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6"
9,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","value__fft_coefficient__attr_""angle""__coeff_0"
10,value__friedrich_coefficients__coeff_3__m_3__r_30,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0"
11,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4"
12,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",value__number_crossing_m__m_-1
13,"value__linear_trend__attr_""slope""","value__fft_aggregated__aggtype_""variance""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0"
14,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean"""
15,value__sum_of_reoccurring_data_points,value__variance_larger_than_standard_deviation,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6"
16,"value__fft_coefficient__attr_""imag""__coeff_30","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0"
17,value__index_mass_quantile__q_0.2,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",value__ratio_beyond_r_sigma__r_6
18,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","value__fft_coefficient__attr_""imag""__coeff_1","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0"
19,"value__fft_coefficient__attr_""real""__coeff_90","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",value__large_standard_deviation__r_0.2
20,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","value__fft_coefficient__attr_""abs""__coeff_81",value__range_count__max_0__min_-1000000000000.0
21,"value__fft_coefficient__attr_""imag""__coeff_79","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0"
22,value__sum_of_reoccurring_values,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min"""
23,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","value__fft_aggregated__aggtype_""centroid"""
