rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
1,value__absolute_sum_of_changes,value__absolute_sum_of_changes,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",value__sum_values,value__sum_values
2,value__variation_coefficient,value__variation_coefficient,"value__fft_coefficient__attr_""abs""__coeff_1",value__longest_strike_below_mean,value__permutation_entropy__dimension_3__tau_1
3,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",value__abs_energy,value__abs_energy
4,value__index_mass_quantile__q_0.3,value__sum_of_reoccurring_data_points,value__variation_coefficient,value__permutation_entropy__dimension_3__tau_1,value__mean_abs_change
5,value__mean_abs_change,value__index_mass_quantile__q_0.3,"value__fft_aggregated__aggtype_""centroid""",value__mean_abs_change,value__mean_second_derivative_central
6,value__sum_of_reoccurring_data_points,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",value__variance_larger_than_standard_deviation,value__sum_of_reoccurring_values,value__median
7,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",value__absolute_maximum,value__mean
8,"value__fft_coefficient__attr_""imag""__coeff_43","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",value__mean_n_absolute_max__number_of_maxima_7,value__standard_deviation
9,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",value__permutation_entropy__dimension_6__tau_1,value__variation_coefficient
10,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_90","value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",value__mean_second_derivative_central,value__variance
11,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","value__fft_coefficient__attr_""real""__coeff_47","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",value__skewness
12,value__friedrich_coefficients__coeff_3__m_3__r_30,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",value__mean_change,value__kurtosis
13,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""real""__coeff_74",value__index_mass_quantile__q_0.2,value__median,value__root_mean_square
14,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",value__mean,value__absolute_sum_of_changes
15,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,"value__fft_coefficient__attr_""real""__coeff_96","value__linear_trend__attr_""slope""",value__sample_entropy,value__sum_of_reoccurring_values
16,"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_62","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",value__minimum,value__sum_of_reoccurring_data_points
17,"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""real""__coeff_87","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",value__standard_deviation,value__maximum
18,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","value__fft_coefficient__attr_""real""__coeff_76","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",value__variation_coefficient,value__absolute_maximum
19,"value__fft_coefficient__attr_""real""__coeff_90",value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",value__time_reversal_asymmetry_statistic__lag_1
