feature,avg_rank
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",5.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",6.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",6.666666666666667
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",10.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",10.333333333333334
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",10.666666666666666
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",12.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",13.333333333333334
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",13.666666666666666
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",14.0
value__absolute_sum_of_changes,16.666666666666668
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",17.333333333333332
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",17.666666666666668
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",18.333333333333332
value__mean_abs_change,18.666666666666668
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",18.666666666666668
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",18.666666666666668
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",18.666666666666668
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",19.666666666666668
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",19.666666666666668
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",22.333333333333332
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",22.333333333333332
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",24.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",25.0
value__cid_ce__normalize_False,25.333333333333332
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",27.333333333333332
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",29.333333333333332
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",30.0
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",31.333333333333332
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",35.333333333333336
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",38.0
"value__fft_coefficient__attr_""abs""__coeff_56",38.666666666666664
"value__fft_aggregated__aggtype_""centroid""",39.333333333333336
"value__fft_coefficient__attr_""abs""__coeff_98",40.333333333333336
"value__fft_aggregated__aggtype_""variance""",46.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",55.333333333333336
"value__fft_coefficient__attr_""abs""__coeff_75",57.0
"value__fft_coefficient__attr_""abs""__coeff_62",63.666666666666664
"value__fft_coefficient__attr_""abs""__coeff_88",72.66666666666667
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",75.0
"value__fft_coefficient__attr_""abs""__coeff_83",75.0
"value__fft_coefficient__attr_""abs""__coeff_64",81.0
