rank,mean,median,product
1,value__ratio_beyond_r_sigma__r_1,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7
2,"value__fft_coefficient__attr_""abs""__coeff_1","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",value__ratio_beyond_r_sigma__r_1
3,"value__fft_coefficient__attr_""real""__coeff_1","value__fft_coefficient__attr_""imag""__coeff_72","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean"""
4,value__time_reversal_asymmetry_statistic__lag_1,"value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__agg_autocorrelation__f_agg_""var""__maxlag_40"
5,"value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",value__last_location_of_maximum
6,value__percentage_of_reoccurring_values_to_all_values,"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""imag""__coeff_72"
7,value__ratio_beyond_r_sigma__r_0.5,"value__fft_coefficient__attr_""angle""__coeff_75","value__fft_coefficient__attr_""imag""__coeff_30"
8,"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","value__fft_coefficient__attr_""angle""__coeff_92","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)"
9,value__standard_deviation,value__ratio_beyond_r_sigma__r_1,value__percentage_of_reoccurring_datapoints_to_all_datapoints
10,"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","value__fft_coefficient__attr_""real""__coeff_62","value__fft_coefficient__attr_""abs""__coeff_1"
11,value__last_location_of_maximum,value__variation_coefficient,value__symmetry_looking__r_0.4
12,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",value__autocorrelation__lag_8,"value__fft_coefficient__attr_""angle""__coeff_75"
13,value__autocorrelation__lag_8,"value__fft_coefficient__attr_""real""__coeff_81",value__value_count__value_1
14,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,"value__fft_coefficient__attr_""real""__coeff_56",value__symmetry_looking__r_0.5
15,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_70",value__ratio_beyond_r_sigma__r_0.5
16,value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__fft_coefficient__attr_""angle""__coeff_6",value__symmetry_looking__r_0.6000000000000001
17,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",value__time_reversal_asymmetry_statistic__lag_1
18,"value__fft_coefficient__attr_""abs""__coeff_53",value__last_location_of_maximum,value__large_standard_deviation__r_0.7000000000000001
19,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""","value__fft_coefficient__attr_""angle""__coeff_92"
20,"value__fft_coefficient__attr_""angle""__coeff_6","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",value__large_standard_deviation__r_0.8500000000000001
21,value__first_location_of_maximum,value__autocorrelation__lag_7,value__value_count__value_-1
22,"value__fft_coefficient__attr_""angle""__coeff_92",value__variance,value__large_standard_deviation__r_0.05
23,"value__fft_coefficient__attr_""angle""__coeff_75",value__first_location_of_maximum,value__autocorrelation__lag_8
24,"value__agg_autocorrelation__f_agg_""median""__maxlag_40","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",value__large_standard_deviation__r_0.9500000000000001
25,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",value__time_reversal_asymmetry_statistic__lag_1,value__large_standard_deviation__r_0.5
26,"value__fft_coefficient__attr_""angle""__coeff_4","value__fft_coefficient__attr_""abs""__coeff_1",value__first_location_of_maximum
27,value__variance,"value__fft_coefficient__attr_""real""__coeff_1","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
28,"value__fft_coefficient__attr_""imag""__coeff_6","value__fft_coefficient__attr_""angle""__coeff_73","value__fft_coefficient__attr_""imag""__coeff_0"
29,"value__fft_coefficient__attr_""imag""__coeff_2","value__fft_coefficient__attr_""imag""__coeff_98",value__large_standard_deviation__r_0.55
30,value__length,"value__fft_coefficient__attr_""real""__coeff_82",value__symmetry_looking__r_0.8500000000000001
31,value__large_standard_deviation__r_0.25,"value__fft_coefficient__attr_""abs""__coeff_53","value__fft_coefficient__attr_""real""__coeff_81"
32,"value__fft_coefficient__attr_""abs""__coeff_2","value__fft_coefficient__attr_""imag""__coeff_71",value__symmetry_looking__r_0.75
33,"value__fft_coefficient__attr_""real""__coeff_56",value__autocorrelation__lag_4,value__symmetry_looking__r_0.7000000000000001
34,"value__fft_coefficient__attr_""angle""__coeff_70","value__fft_coefficient__attr_""angle""__coeff_28",value__symmetry_looking__r_0.0
35,"value__fft_coefficient__attr_""angle""__coeff_11",value__autocorrelation__lag_3,value__symmetry_looking__r_0.8
36,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_76",value__large_standard_deviation__r_0.8
37,"value__fft_coefficient__attr_""angle""__coeff_89","value__fft_coefficient__attr_""imag""__coeff_65",value__symmetry_looking__r_0.55
38,"value__fft_coefficient__attr_""real""__coeff_81",value__percentage_of_reoccurring_datapoints_to_all_datapoints,value__value_count__value_0
39,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",value__percentage_of_reoccurring_values_to_all_values,value__large_standard_deviation__r_0.25
40,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,value__symmetry_looking__r_0.35000000000000003
41,value__autocorrelation__lag_7,"value__fft_coefficient__attr_""imag""__coeff_23",value__symmetry_looking__r_0.45
42,"value__linear_trend__attr_""rvalue""","value__fft_coefficient__attr_""real""__coeff_64",value__symmetry_looking__r_0.9500000000000001
43,value__friedrich_coefficients__coeff_0__m_3__r_30,value__ratio_beyond_r_sigma__r_3,"value__fft_coefficient__attr_""real""__coeff_1"
44,"value__fft_coefficient__attr_""angle""__coeff_76","value__fft_coefficient__attr_""real""__coeff_6",value__symmetry_looking__r_0.65
