rank,mean,median,product
1,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)"
2,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""imag""__coeff_27","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean"""
3,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var"""
4,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var"""
5,value__standard_deviation,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""imag""__coeff_27"
6,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean"""
7,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min"""
8,"value__fft_coefficient__attr_""real""__coeff_2",value__friedrich_coefficients__coeff_0__m_3__r_30,value__friedrich_coefficients__coeff_0__m_3__r_30
9,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",value__standard_deviation
10,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2"
11,"value__fft_coefficient__attr_""abs""__coeff_12","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",value__spkt_welch_density__coeff_2
12,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""","value__linear_trend__attr_""stderr""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
13,"value__linear_trend__attr_""stderr""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",value__friedrich_coefficients__coeff_1__m_3__r_30
14,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max"""
15,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",value__symmetry_looking__r_0.25
16,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max"""
17,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min"""
18,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",value__spkt_welch_density__coeff_2,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max"""
19,"value__fft_coefficient__attr_""abs""__coeff_2","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",value__variance
20,value__friedrich_coefficients__coeff_0__m_3__r_30,value__variance,value__symmetry_looking__r_0.6000000000000001
21,value__variance,"value__fft_coefficient__attr_""real""__coeff_2","value__fft_coefficient__attr_""real""__coeff_2"
22,"value__fft_coefficient__attr_""abs""__coeff_3","value__fft_coefficient__attr_""imag""__coeff_60","value__fft_coefficient__attr_""imag""__coeff_60"
23,value__count_above_mean,value__friedrich_coefficients__coeff_1__m_3__r_30,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2"
24,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_37","value__linear_trend__attr_""stderr"""
25,"value__fft_coefficient__attr_""abs""__coeff_4","value__fft_coefficient__attr_""imag""__coeff_76","value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
26,"value__fft_coefficient__attr_""imag""__coeff_29","value__fft_coefficient__attr_""real""__coeff_13",value__symmetry_looking__r_0.55
27,value__friedrich_coefficients__coeff_1__m_3__r_30,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_0"
28,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""abs""__coeff_12",value__large_standard_deviation__r_0.6000000000000001
29,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",value__index_mass_quantile__q_0.3,value__count_above_mean
30,value__spkt_welch_density__coeff_2,value__standard_deviation,value__symmetry_looking__r_0.45
31,"value__fft_coefficient__attr_""abs""__coeff_1","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_23"
32,"value__fft_coefficient__attr_""imag""__coeff_1",value__count_above_mean,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min"""
33,"value__fft_coefficient__attr_""imag""__coeff_20",value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0"
34,"value__fft_coefficient__attr_""imag""__coeff_18",value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,value__symmetry_looking__r_0.35000000000000003
35,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","value__fft_coefficient__attr_""abs""__coeff_1",value__large_standard_deviation__r_0.45
36,"value__fft_coefficient__attr_""imag""__coeff_26","value__fft_coefficient__attr_""imag""__coeff_1","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max"""
37,"value__fft_coefficient__attr_""imag""__coeff_60","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",value__has_duplicate_max
38,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","value__fft_coefficient__attr_""abs""__coeff_12"
39,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""imag""__coeff_54",value__symmetry_looking__r_0.2
40,"value__fft_coefficient__attr_""imag""__coeff_27","value__fft_coefficient__attr_""imag""__coeff_23",value__large_standard_deviation__r_0.5
41,value__percentage_of_reoccurring_values_to_all_values,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",value__large_standard_deviation__r_0.8500000000000001
