rank,mean,median,product
1,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean"""
2,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,value__percentage_of_reoccurring_values_to_all_values
3,value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",value__ratio_value_number_to_time_series_length
4,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",value__percentage_of_reoccurring_values_to_all_values,"value__linear_trend__attr_""pvalue"""
5,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""abs""__coeff_1","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max"""
6,value__percentage_of_reoccurring_values_to_all_values,"value__fft_coefficient__attr_""angle""__coeff_40","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean"""
7,"value__fft_coefficient__attr_""imag""__coeff_3",value__index_mass_quantile__q_0.6,"value__fft_coefficient__attr_""imag""__coeff_3"
8,value__ratio_value_number_to_time_series_length,value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__fft_coefficient__attr_""angle""__coeff_51"
9,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_87","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean"""
10,"value__fft_coefficient__attr_""imag""__coeff_1",value__index_mass_quantile__q_0.1,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max"""
11,value__index_mass_quantile__q_0.1,"value__fft_coefficient__attr_""angle""__coeff_17",value__percentage_of_reoccurring_datapoints_to_all_datapoints
12,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean"""
13,value__longest_strike_above_mean,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__linear_trend__attr_""rvalue"""
14,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",value__longest_strike_above_mean,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min"""
15,value__mean_change,"value__linear_trend__attr_""slope""","value__linear_trend__attr_""slope"""
16,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","value__fft_coefficient__attr_""imag""__coeff_38","value__fft_coefficient__attr_""imag""__coeff_1"
17,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min"""
18,"value__fft_coefficient__attr_""imag""__coeff_2","value__fft_coefficient__attr_""real""__coeff_24","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max"""
19,"value__fft_coefficient__attr_""angle""__coeff_40","value__linear_trend__attr_""pvalue""",value__time_reversal_asymmetry_statistic__lag_2
20,"value__fft_coefficient__attr_""imag""__coeff_5","value__fft_coefficient__attr_""imag""__coeff_3","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min"""
21,"value__fft_coefficient__attr_""angle""__coeff_51","value__fft_coefficient__attr_""imag""__coeff_1","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min"""
22,value__sample_entropy,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",value__time_reversal_asymmetry_statistic__lag_1
23,"value__linear_trend__attr_""rvalue""","value__fft_coefficient__attr_""imag""__coeff_10","value__fft_coefficient__attr_""real""__coeff_24"
24,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_38"
25,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_5","value__fft_coefficient__attr_""imag""__coeff_2"
26,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""","value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__sample_entropy
27,"value__fft_coefficient__attr_""abs""__coeff_1","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min"""
28,"value__fft_coefficient__attr_""angle""__coeff_17","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_5"
29,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean"""
30,value__time_reversal_asymmetry_statistic__lag_2,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",value__longest_strike_below_mean
31,"value__fft_coefficient__attr_""imag""__coeff_10","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",value__mean_change
32,value__longest_strike_below_mean,value__ratio_value_number_to_time_series_length,"value__fft_coefficient__attr_""imag""__coeff_10"
33,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_51","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0"
34,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",value__mean_change,value__time_reversal_asymmetry_statistic__lag_3
35,"value__fft_coefficient__attr_""imag""__coeff_38","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",value__index_mass_quantile__q_0.6
36,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__agg_autocorrelation__f_agg_""var""__maxlag_40"
37,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",value__index_mass_quantile__q_0.7,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min"""
38,value__time_reversal_asymmetry_statistic__lag_1,value__index_mass_quantile__q_0.2,value__number_crossing_m__m_-1
39,"value__fft_coefficient__attr_""imag""__coeff_67","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean"""
40,"value__fft_coefficient__attr_""imag""__coeff_30","value__linear_trend__attr_""rvalue""","value__fft_coefficient__attr_""imag""__coeff_67"
41,"value__fft_coefficient__attr_""imag""__coeff_7","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var"""
42,value__index_mass_quantile__q_0.2,"value__fft_coefficient__attr_""real""__coeff_52",value__index_mass_quantile__q_0.2
43,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",value__sample_entropy,"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC"""
44,"value__fft_coefficient__attr_""angle""__coeff_41",value__index_mass_quantile__q_0.3,"value__fft_coefficient__attr_""angle""__coeff_30"
45,"value__fft_coefficient__attr_""imag""__coeff_87","value__agg_autocorrelation__f_agg_""median""__maxlag_40","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4"
46,"value__agg_autocorrelation__f_agg_""median""__maxlag_40","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",value__index_mass_quantile__q_0.1
47,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_2",value__index_mass_quantile__q_0.7
48,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,"value__fft_coefficient__attr_""real""__coeff_58",value__number_crossing_m__m_0
49,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max"""
50,"value__fft_coefficient__attr_""angle""__coeff_30","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var"""
51,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",value__index_mass_quantile__q_0.4,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean"""
52,value__time_reversal_asymmetry_statistic__lag_3,"value__fft_coefficient__attr_""imag""__coeff_80","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean"""
53,"value__fft_coefficient__attr_""imag""__coeff_8","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",value__friedrich_coefficients__coeff_2__m_3__r_30
54,"value__fft_coefficient__attr_""imag""__coeff_51","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var"""
55,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_41","value__fft_coefficient__attr_""imag""__coeff_84"
56,"value__fft_coefficient__attr_""imag""__coeff_31",value__time_reversal_asymmetry_statistic__lag_2,"value__fft_coefficient__attr_""imag""__coeff_7"
57,"value__fft_coefficient__attr_""imag""__coeff_39","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max"""
58,"value__fft_coefficient__attr_""real""__coeff_24","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""imag""__coeff_39"
59,value__approximate_entropy__m_2__r_0.5,"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","value__fft_coefficient__attr_""imag""__coeff_51"
60,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4"
61,"value__fft_coefficient__attr_""imag""__coeff_17",value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,"value__fft_coefficient__attr_""angle""__coeff_5"
62,"value__fft_coefficient__attr_""angle""__coeff_46","value__fft_coefficient__attr_""angle""__coeff_45",value__energy_ratio_by_chunks__num_segments_10__segment_focus_3
63,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""","value__fft_coefficient__attr_""angle""__coeff_68","value__fft_coefficient__attr_""angle""__coeff_8"
64,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",value__lempel_ziv_complexity__bins_100,"value__fft_coefficient__attr_""imag""__coeff_30"
65,"value__fft_coefficient__attr_""real""__coeff_58","value__fft_coefficient__attr_""imag""__coeff_46","value__agg_autocorrelation__f_agg_""median""__maxlag_40"
66,"value__fft_coefficient__attr_""angle""__coeff_45","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",value__friedrich_coefficients__coeff_1__m_3__r_30
67,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,"value__fft_coefficient__attr_""imag""__coeff_22","value__fft_coefficient__attr_""imag""__coeff_8"
68,"value__fft_coefficient__attr_""angle""__coeff_31",value__longest_strike_below_mean,"value__fft_coefficient__attr_""angle""__coeff_22"
69,"value__fft_coefficient__attr_""imag""__coeff_9","value__fft_coefficient__attr_""imag""__coeff_31","value__fft_coefficient__attr_""imag""__coeff_16"
70,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","value__fft_coefficient__attr_""imag""__coeff_67","value__fft_coefficient__attr_""imag""__coeff_9"
71,"value__fft_coefficient__attr_""imag""__coeff_55","value__fft_coefficient__attr_""imag""__coeff_26",value__friedrich_coefficients__coeff_3__m_3__r_30
72,"value__fft_coefficient__attr_""imag""__coeff_84",value__first_location_of_maximum,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1
73,"value__fft_coefficient__attr_""imag""__coeff_18",value__standard_deviation,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8
74,"value__fft_coefficient__attr_""angle""__coeff_2","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max"""
75,"value__fft_coefficient__attr_""imag""__coeff_16","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",value__number_peaks__n_50
76,"value__fft_coefficient__attr_""imag""__coeff_26","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""real""__coeff_34"
77,"value__fft_coefficient__attr_""imag""__coeff_33","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__fft_coefficient__attr_""real""__coeff_58"
78,value__standard_deviation,"value__fft_coefficient__attr_""imag""__coeff_55","value__fft_coefficient__attr_""angle""__coeff_2"
79,"value__fft_coefficient__attr_""angle""__coeff_1","value__fft_coefficient__attr_""abs""__coeff_3",value__approximate_entropy__m_2__r_0.5
80,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",value__approximate_entropy__m_2__r_0.5,value__index_mass_quantile__q_0.3
81,"value__fft_coefficient__attr_""angle""__coeff_8","value__fft_coefficient__attr_""imag""__coeff_56","value__fft_coefficient__attr_""imag""__coeff_31"
82,"value__fft_coefficient__attr_""imag""__coeff_21","value__fft_coefficient__attr_""abs""__coeff_17","value__fft_coefficient__attr_""abs""__coeff_3"
83,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_7",value__energy_ratio_by_chunks__num_segments_10__segment_focus_0
84,"value__fft_coefficient__attr_""real""__coeff_90","value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""imag""__coeff_79"
85,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","value__fft_coefficient__attr_""angle""__coeff_2",value__index_mass_quantile__q_0.8
86,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",value__large_standard_deviation__r_0.2,value__approximate_entropy__m_2__r_0.3
87,value__index_mass_quantile__q_0.3,"value__fft_coefficient__attr_""imag""__coeff_43","value__fft_coefficient__attr_""imag""__coeff_26"
88,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",value__index_mass_quantile__q_0.4
89,value__number_peaks__n_50,"value__fft_coefficient__attr_""imag""__coeff_84",value__index_mass_quantile__q_0.9
90,"value__fft_coefficient__attr_""angle""__coeff_37","value__fft_coefficient__attr_""real""__coeff_46",value__standard_deviation
91,value__first_location_of_maximum,"value__fft_coefficient__attr_""imag""__coeff_15","value__fft_coefficient__attr_""real""__coeff_69"
92,"value__fft_coefficient__attr_""real""__coeff_72","value__fft_coefficient__attr_""imag""__coeff_18","value__fft_coefficient__attr_""imag""__coeff_17"
93,"value__fft_coefficient__attr_""angle""__coeff_22","value__fft_coefficient__attr_""angle""__coeff_10","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6"
94,"value__fft_coefficient__attr_""imag""__coeff_12","value__fft_coefficient__attr_""imag""__coeff_60","value__fft_coefficient__attr_""imag""__coeff_80"
95,value__ratio_beyond_r_sigma__r_2,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_31"
96,value__last_location_of_maximum,"value__fft_coefficient__attr_""imag""__coeff_7","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6"
97,"value__fft_coefficient__attr_""angle""__coeff_99",value__last_location_of_maximum,"value__fft_coefficient__attr_""imag""__coeff_18"
98,"value__fft_coefficient__attr_""real""__coeff_52","value__fft_coefficient__attr_""angle""__coeff_3","value__fft_coefficient__attr_""imag""__coeff_97"
99,"value__agg_autocorrelation__f_agg_""mean""__maxlag_40",value__cid_ce__normalize_True,"value__fft_coefficient__attr_""angle""__coeff_3"
100,value__cid_ce__normalize_True,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_46"
101,"value__fft_coefficient__attr_""angle""__coeff_68",value__time_reversal_asymmetry_statistic__lag_3,"value__fft_coefficient__attr_""angle""__coeff_99"
102,"value__fft_coefficient__attr_""imag""__coeff_58",value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,"value__fft_coefficient__attr_""imag""__coeff_55"
103,value__index_mass_quantile__q_0.6,"value__fft_coefficient__attr_""real""__coeff_72","value__fft_coefficient__attr_""imag""__coeff_22"
104,value__approximate_entropy__m_2__r_0.3,"value__fft_coefficient__attr_""imag""__coeff_9","value__fft_coefficient__attr_""real""__coeff_72"
105,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_46","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4"
106,value__ratio_beyond_r_sigma__r_1,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",value__cid_ce__normalize_True
107,value__friedrich_coefficients__coeff_2__m_3__r_30,"value__fft_coefficient__attr_""imag""__coeff_85",value__large_standard_deviation__r_0.2
108,"value__fft_coefficient__attr_""imag""__coeff_22","value__fft_coefficient__attr_""imag""__coeff_58","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2"
109,"value__fft_coefficient__attr_""real""__coeff_17",value__variance,value__binned_entropy__max_bins_10
110,"value__fft_coefficient__attr_""imag""__coeff_97",value__time_reversal_asymmetry_statistic__lag_1,value__autocorrelation__lag_1
111,"value__fft_coefficient__attr_""imag""__coeff_56","value__fft_coefficient__attr_""imag""__coeff_36","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
112,"value__fft_coefficient__attr_""imag""__coeff_23","value__fft_coefficient__attr_""imag""__coeff_17",value__kurtosis
113,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_39",value__partial_autocorrelation__lag_1
114,"value__linear_trend__attr_""pvalue""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_10"
115,"value__fft_coefficient__attr_""abs""__coeff_3",value__number_cwt_peaks__n_5,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2"
116,"value__fft_coefficient__attr_""angle""__coeff_50","value__fft_coefficient__attr_""imag""__coeff_11",value__first_location_of_maximum
117,value__index_mass_quantile__q_0.4,value__autocorrelation__lag_9,"value__fft_coefficient__attr_""angle""__coeff_1"
118,"value__fft_coefficient__attr_""angle""__coeff_5",value__kurtosis,"value__fft_coefficient__attr_""real""__coeff_90"
119,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_33"
120,"value__fft_coefficient__attr_""angle""__coeff_3",value__ratio_beyond_r_sigma__r_2.5,"value__fft_coefficient__attr_""imag""__coeff_59"
121,"value__fft_coefficient__attr_""angle""__coeff_25","value__fft_coefficient__attr_""imag""__coeff_51","value__fft_coefficient__attr_""angle""__coeff_73"
122,"value__fft_coefficient__attr_""real""__coeff_49",value__number_peaks__n_50,"value__fft_coefficient__attr_""imag""__coeff_21"
123,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,"value__fft_coefficient__attr_""imag""__coeff_8","value__linear_trend__attr_""stderr"""
124,"value__fft_coefficient__attr_""real""__coeff_84",value__approximate_entropy__m_2__r_0.3,"value__fft_coefficient__attr_""real""__coeff_46"
125,"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","value__fft_coefficient__attr_""imag""__coeff_33","value__fft_coefficient__attr_""imag""__coeff_12"
126,"value__linear_trend__attr_""stderr""","value__fft_coefficient__attr_""imag""__coeff_21","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4"
127,value__autocorrelation__lag_9,"value__fft_coefficient__attr_""angle""__coeff_31","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var"""
128,"value__fft_coefficient__attr_""imag""__coeff_60","value__fft_coefficient__attr_""real""__coeff_34",value__large_standard_deviation__r_0.25
129,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""imag""__coeff_59",value__energy_ratio_by_chunks__num_segments_10__segment_focus_7
130,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","value__fft_coefficient__attr_""angle""__coeff_37",value__ratio_beyond_r_sigma__r_2
131,"value__fft_coefficient__attr_""imag""__coeff_34","value__fft_coefficient__attr_""angle""__coeff_1",value__last_location_of_maximum
132,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",value__autocorrelation__lag_8,"value__fft_coefficient__attr_""angle""__coeff_25"
133,"value__fft_coefficient__attr_""angle""__coeff_24",value__index_mass_quantile__q_0.8,"value__fft_coefficient__attr_""imag""__coeff_58"
134,"value__fft_coefficient__attr_""angle""__coeff_55","value__fft_coefficient__attr_""angle""__coeff_21","value__fft_coefficient__attr_""real""__coeff_49"
135,"value__fft_coefficient__attr_""imag""__coeff_59","value__fft_coefficient__attr_""angle""__coeff_27","value__agg_autocorrelation__f_agg_""mean""__maxlag_40"
136,"value__fft_coefficient__attr_""angle""__coeff_67","value__fft_coefficient__attr_""real""__coeff_17","value__fft_coefficient__attr_""imag""__coeff_60"
137,"value__fft_coefficient__attr_""abs""__coeff_56","value__fft_coefficient__attr_""imag""__coeff_16","value__fft_coefficient__attr_""abs""__coeff_1"
138,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",value__ratio_beyond_r_sigma__r_2,"value__fft_coefficient__attr_""angle""__coeff_37"
139,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",value__autocorrelation__lag_6,"value__fft_coefficient__attr_""imag""__coeff_46"
140,value__number_cwt_peaks__n_5,"value__fft_coefficient__attr_""angle""__coeff_98",value__ratio_beyond_r_sigma__r_1
141,"value__fft_coefficient__attr_""imag""__coeff_48","value__fft_coefficient__attr_""angle""__coeff_73","value__fft_coefficient__attr_""imag""__coeff_56"
142,"value__fft_coefficient__attr_""abs""__coeff_17","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","value__fft_coefficient__attr_""abs""__coeff_17"
143,"value__fft_coefficient__attr_""real""__coeff_69","value__fft_coefficient__attr_""angle""__coeff_30",value__energy_ratio_by_chunks__num_segments_10__segment_focus_6
