rank,mrmr_mean,mrmr_max
1,value__index_mass_quantile__q_0.3,"value__fft_coefficient__attr_""imag""__coeff_72"
2,"value__fft_coefficient__attr_""imag""__coeff_72",value__energy_ratio_by_chunks__num_segments_10__segment_focus_7
3,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean"""
4,"value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__agg_autocorrelation__f_agg_""var""__maxlag_40"
5,value__last_location_of_maximum,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)"
6,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,"value__fft_coefficient__attr_""real""__coeff_62"
7,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var"""
8,"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""angle""__coeff_92"
9,value__autocorrelation__lag_8,value__length
10,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",value__autocorrelation__lag_8
11,"value__fft_coefficient__attr_""angle""__coeff_75","value__fft_coefficient__attr_""angle""__coeff_75"
12,"value__fft_coefficient__attr_""real""__coeff_62","value__fft_coefficient__attr_""real""__coeff_81"
13,value__first_location_of_maximum,"value__fft_coefficient__attr_""real""__coeff_56"
14,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""imag""__coeff_30"
15,"value__fft_coefficient__attr_""real""__coeff_81",value__variation_coefficient
16,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_64"
17,"value__fft_coefficient__attr_""angle""__coeff_92","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6"
18,"value__fft_coefficient__attr_""abs""__coeff_1","value__fft_coefficient__attr_""real""__coeff_82"
19,value__variation_coefficient,"value__fft_coefficient__attr_""angle""__coeff_6"
20,value__number_cwt_peaks__n_5,"value__fft_coefficient__attr_""real""__coeff_1"
21,value__ratio_beyond_r_sigma__r_5,"value__fft_coefficient__attr_""angle""__coeff_70"
22,"value__fft_coefficient__attr_""angle""__coeff_6",value__range_count__max_1__min_-1
23,"value__fft_coefficient__attr_""real""__coeff_56","value__fft_coefficient__attr_""real""__coeff_23"
24,value__autocorrelation__lag_7,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6"
25,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6"
26,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__fft_coefficient__attr_""abs""__coeff_46"
27,"value__fft_coefficient__attr_""angle""__coeff_70",value__sum_of_reoccurring_data_points
28,"value__fft_coefficient__attr_""abs""__coeff_46","value__fft_coefficient__attr_""real""__coeff_25"
29,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6","value__fft_coefficient__attr_""angle""__coeff_76"
30,value__large_standard_deviation__r_0.2,"value__fft_coefficient__attr_""imag""__coeff_98"
31,"value__fft_coefficient__attr_""real""__coeff_82","value__fft_coefficient__attr_""angle""__coeff_73"
32,value__index_mass_quantile__q_0.1,value__last_location_of_maximum
33,value__variance,"value__fft_coefficient__attr_""real""__coeff_48"
34,value__ratio_beyond_r_sigma__r_1,"value__fft_coefficient__attr_""imag""__coeff_71"
35,value__time_reversal_asymmetry_statistic__lag_1,"value__fft_coefficient__attr_""real""__coeff_6"
36,"value__linear_trend__attr_""rvalue""","value__fft_coefficient__attr_""real""__coeff_37"
37,value__standard_deviation,"value__fft_coefficient__attr_""abs""__coeff_1"
38,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,"value__fft_coefficient__attr_""real""__coeff_76"
39,"value__fft_coefficient__attr_""imag""__coeff_23","value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)"
40,"value__fft_coefficient__attr_""real""__coeff_1","value__fft_coefficient__attr_""real""__coeff_70"
41,"value__fft_coefficient__attr_""real""__coeff_64",value__time_reversal_asymmetry_statistic__lag_1
42,"value__fft_coefficient__attr_""imag""__coeff_98","value__fft_coefficient__attr_""real""__coeff_83"
43,"value__fft_coefficient__attr_""abs""__coeff_53","value__fft_coefficient__attr_""angle""__coeff_28"
44,value__ratio_beyond_r_sigma__r_0.5,"value__fft_coefficient__attr_""imag""__coeff_65"
45,"value__fft_coefficient__attr_""angle""__coeff_73","value__fft_coefficient__attr_""angle""__coeff_83"
46,"value__fft_coefficient__attr_""abs""__coeff_2",value__lempel_ziv_complexity__bins_100
47,"value__fft_coefficient__attr_""real""__coeff_6","value__fft_coefficient__attr_""angle""__coeff_93"
48,value__large_standard_deviation__r_0.4,"value__fft_coefficient__attr_""angle""__coeff_53"
49,value__percentage_of_reoccurring_values_to_all_values,"value__fft_coefficient__attr_""real""__coeff_42"
50,value__autocorrelation__lag_4,"value__fft_coefficient__attr_""real""__coeff_60"
51,"value__fft_coefficient__attr_""imag""__coeff_71","value__fft_coefficient__attr_""real""__coeff_84"
52,"value__fft_coefficient__attr_""angle""__coeff_76","value__fft_coefficient__attr_""imag""__coeff_23"
53,"value__fft_coefficient__attr_""angle""__coeff_28","value__fft_coefficient__attr_""angle""__coeff_89"
54,value__range_count__max_1000000000000.0__min_0,value__partial_autocorrelation__lag_8
55,"value__fft_coefficient__attr_""real""__coeff_23","value__fft_coefficient__attr_""imag""__coeff_95"
56,value__autocorrelation__lag_3,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max"""
57,value__number_cwt_peaks__n_1,value__partial_autocorrelation__lag_7
58,"value__fft_coefficient__attr_""imag""__coeff_65","value__fft_coefficient__attr_""angle""__coeff_61"
59,"value__fft_coefficient__attr_""real""__coeff_25","value__fft_coefficient__attr_""real""__coeff_43"
60,"value__fft_coefficient__attr_""real""__coeff_48",value__partial_autocorrelation__lag_4
61,"value__agg_autocorrelation__f_agg_""median""__maxlag_40",value__friedrich_coefficients__coeff_0__m_3__r_30
62,"value__fft_coefficient__attr_""imag""__coeff_6","value__fft_coefficient__attr_""angle""__coeff_79"
63,value__ratio_beyond_r_sigma__r_6,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2
64,"value__fft_coefficient__attr_""abs""__coeff_4","value__fft_coefficient__attr_""real""__coeff_87"
65,value__fourier_entropy__bins_5,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0"
66,"value__fft_coefficient__attr_""imag""__coeff_5","value__fft_coefficient__attr_""real""__coeff_98"
67,value__number_peaks__n_50,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
68,"value__fft_coefficient__attr_""abs""__coeff_59","value__fft_coefficient__attr_""angle""__coeff_88"
69,"value__fft_coefficient__attr_""angle""__coeff_53","value__fft_coefficient__attr_""real""__coeff_99"
70,value__approximate_entropy__m_2__r_0.3,"value__fft_coefficient__attr_""imag""__coeff_5"
71,"value__fft_coefficient__attr_""imag""__coeff_14","value__fft_coefficient__attr_""real""__coeff_69"
72,value__last_location_of_minimum,"value__fft_coefficient__attr_""angle""__coeff_11"
73,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",value__has_duplicate_max
74,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,value__ratio_beyond_r_sigma__r_1
75,"value__fft_coefficient__attr_""angle""__coeff_11","value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC"""
76,"value__fft_coefficient__attr_""abs""__coeff_75",value__energy_ratio_by_chunks__num_segments_10__segment_focus_5
77,"value__fft_coefficient__attr_""imag""__coeff_10",value__has_duplicate_min
78,"value__fft_coefficient__attr_""angle""__coeff_83",value__ar_coefficient__coeff_3__k_10
79,value__autocorrelation__lag_5,"value__fft_coefficient__attr_""abs""__coeff_53"
80,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,"value__fft_coefficient__attr_""real""__coeff_36"
81,"value__fft_coefficient__attr_""imag""__coeff_29","value__fft_coefficient__attr_""real""__coeff_90"
82,"value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_31"
83,"value__fft_coefficient__attr_""imag""__coeff_40","value__fft_coefficient__attr_""imag""__coeff_40"
84,"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","value__fft_coefficient__attr_""real""__coeff_67"
