rank,mrmr_mean,mrmr_max
1,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)"
2,"value__fft_coefficient__attr_""imag""__coeff_27","value__fft_coefficient__attr_""imag""__coeff_27"
3,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",value__index_mass_quantile__q_0.3
4,value__friedrich_coefficients__coeff_1__m_3__r_30,value__friedrich_coefficients__coeff_1__m_3__r_30
5,"value__fft_coefficient__attr_""imag""__coeff_60","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0"
6,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean"""
7,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",value__count_below_mean
8,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","value__fft_coefficient__attr_""real""__coeff_13"
9,"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var"""
10,"value__fft_coefficient__attr_""real""__coeff_13","value__fft_coefficient__attr_""real""__coeff_7"
11,"value__fft_coefficient__attr_""imag""__coeff_23",value__ratio_beyond_r_sigma__r_7
12,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2"
13,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,value__friedrich_coefficients__coeff_0__m_3__r_30
14,"value__fft_coefficient__attr_""imag""__coeff_54","value__fft_coefficient__attr_""abs""__coeff_37"
15,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var"""
16,"value__fft_coefficient__attr_""imag""__coeff_76","value__fft_coefficient__attr_""angle""__coeff_68"
17,value__friedrich_coefficients__coeff_0__m_3__r_30,"value__fft_coefficient__attr_""angle""__coeff_97"
18,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_67"
19,"value__fft_coefficient__attr_""imag""__coeff_25",value__ar_coefficient__coeff_3__k_10
20,value__count_above_mean,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5
21,"value__fft_coefficient__attr_""real""__coeff_15","value__agg_autocorrelation__f_agg_""var""__maxlag_40"
22,value__spkt_welch_density__coeff_2,"value__fft_coefficient__attr_""real""__coeff_15"
23,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",value__permutation_entropy__dimension_3__tau_1
24,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""real""__coeff_10"
25,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0"
26,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",value__partial_autocorrelation__lag_9
27,"value__fft_coefficient__attr_""abs""__coeff_12","value__fft_coefficient__attr_""angle""__coeff_19"
28,"value__fft_coefficient__attr_""real""__coeff_2","value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
29,"value__fft_coefficient__attr_""imag""__coeff_18","value__fft_coefficient__attr_""real""__coeff_84"
30,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)"
31,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","value__fft_coefficient__attr_""angle""__coeff_91"
32,"value__fft_coefficient__attr_""angle""__coeff_68",value__variation_coefficient
33,value__variance,"value__fft_coefficient__attr_""angle""__coeff_61"
34,"value__fft_coefficient__attr_""real""__coeff_7","value__linear_trend__attr_""pvalue"""
35,"value__fft_coefficient__attr_""angle""__coeff_67","value__fft_coefficient__attr_""real""__coeff_14"
36,"value__fft_coefficient__attr_""abs""__coeff_37","value__fft_coefficient__attr_""angle""__coeff_54"
37,"value__fft_coefficient__attr_""angle""__coeff_97","value__fft_coefficient__attr_""imag""__coeff_60"
38,value__index_mass_quantile__q_0.3,value__ratio_beyond_r_sigma__r_2.5
39,"value__fft_coefficient__attr_""imag""__coeff_20","value__fft_coefficient__attr_""real""__coeff_4"
40,value__standard_deviation,"value__fft_coefficient__attr_""angle""__coeff_8"
41,"value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_16"
42,"value__fft_coefficient__attr_""real""__coeff_3","value__fft_coefficient__attr_""imag""__coeff_76"
43,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",value__partial_autocorrelation__lag_6
44,"value__fft_coefficient__attr_""angle""__coeff_19","value__fft_coefficient__attr_""angle""__coeff_63"
45,value__count_below_mean,"value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)"
46,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",value__has_duplicate
47,value__partial_autocorrelation__lag_9,"value__fft_coefficient__attr_""angle""__coeff_69"
48,"value__fft_coefficient__attr_""imag""__coeff_29","value__fft_coefficient__attr_""angle""__coeff_94"
49,"value__linear_trend__attr_""stderr""","value__fft_coefficient__attr_""real""__coeff_61"
50,value__ratio_beyond_r_sigma__r_2,value__autocorrelation__lag_0
51,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""","value__fft_coefficient__attr_""angle""__coeff_72"
52,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",value__symmetry_looking__r_0.05
53,"value__fft_coefficient__attr_""angle""__coeff_8","value__fft_coefficient__attr_""angle""__coeff_92"
54,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""real""__coeff_21"
55,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,value__variance
56,value__variance_larger_than_standard_deviation,"value__fft_coefficient__attr_""imag""__coeff_54"
57,"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""angle""__coeff_57"
58,"value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__fft_coefficient__attr_""angle""__coeff_98"
