rank,mrmr_mean,mrmr_max
1,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean"""
2,value__index_mass_quantile__q_0.6,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1
3,"value__fft_coefficient__attr_""abs""__coeff_1",value__percentage_of_reoccurring_datapoints_to_all_datapoints
4,"value__fft_coefficient__attr_""angle""__coeff_40","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4"
5,"value__fft_coefficient__attr_""imag""__coeff_87","value__fft_coefficient__attr_""angle""__coeff_40"
6,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,value__longest_strike_above_mean
7,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_87"
8,"value__fft_coefficient__attr_""angle""__coeff_17",value__lempel_ziv_complexity__bins_100
9,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_17"
10,value__index_mass_quantile__q_0.1,"value__fft_coefficient__attr_""real""__coeff_52"
11,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__fft_coefficient__attr_""angle""__coeff_41"
12,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_68"
13,value__longest_strike_above_mean,"value__fft_coefficient__attr_""angle""__coeff_45"
14,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""abs""__coeff_1"
15,value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__fft_coefficient__attr_""real""__coeff_17"
