feature_name,feature_prefix,category
value__abs_energy,abs_energy,"Local variation, energy & morphology"
value__absolute_maximum,absolute_maximum,Distribution & amplitude
value__absolute_sum_of_changes,absolute_sum_of_changes,"Local variation, energy & morphology"
"value__agg_autocorrelation__f_agg_""mean""__maxlag_40",agg_autocorrelation,Temporal dependence & trends
"value__agg_autocorrelation__f_agg_""median""__maxlag_40",agg_autocorrelation,Temporal dependence & trends
"value__agg_autocorrelation__f_agg_""var""__maxlag_40",agg_autocorrelation,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",agg_linear_trend,Temporal dependence & trends
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",agg_linear_trend,Temporal dependence & trends
value__approximate_entropy__m_2__r_0.1,approximate_entropy,Complexity & nonlinear dynamics
value__approximate_entropy__m_2__r_0.3,approximate_entropy,Complexity & nonlinear dynamics
value__approximate_entropy__m_2__r_0.5,approximate_entropy,Complexity & nonlinear dynamics
value__approximate_entropy__m_2__r_0.7,approximate_entropy,Complexity & nonlinear dynamics
value__approximate_entropy__m_2__r_0.9,approximate_entropy,Complexity & nonlinear dynamics
value__ar_coefficient__coeff_0__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_10__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_1__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_2__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_3__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_4__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_5__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_6__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_7__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_8__k_10,ar_coefficient,Temporal dependence & trends
value__ar_coefficient__coeff_9__k_10,ar_coefficient,Temporal dependence & trends
"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",augmented_dickey_fuller,Temporal dependence & trends
"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",augmented_dickey_fuller,Temporal dependence & trends
"value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",augmented_dickey_fuller,Temporal dependence & trends
value__autocorrelation__lag_0,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_1,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_2,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_3,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_4,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_5,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_6,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_7,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_8,autocorrelation,Temporal dependence & trends
value__autocorrelation__lag_9,autocorrelation,Temporal dependence & trends
value__benford_correlation,benford_correlation,Complexity & nonlinear dynamics
value__binned_entropy__max_bins_10,binned_entropy,Complexity & nonlinear dynamics
value__c3__lag_1,c3,Complexity & nonlinear dynamics
value__c3__lag_2,c3,Complexity & nonlinear dynamics
value__c3__lag_3,c3,Complexity & nonlinear dynamics
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",change_quantiles,"Local variation, energy & morphology"
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",change_quantiles,"Local variation, energy & morphology"
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",change_quantiles,"Local variation, energy & morphology"
