order,time,runtime,pipeline,default_hp,f1_macro,accuracy,neg_log_loss,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
95,1784629934.828494,110.60064053535461,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor', SelectPercentile(percentile=30)),
                ('learner',
                 RandomForestClassifier(max_features=246, min_samples_leaf=9,
                                        n_estimators=512, warm_start=True))])",False,0.6042,0.6091,-0.6556,True,"{'f1_macro': [0.606006006006006, 0.6057244769237462, 0.5805981852806095, 0.5909040894920228, 0.6363363024767918, 0.6057244769237462], 'accuracy': [0.6097560975609756, 0.6098484848484849, 0.59375, 0.5909090909090909, 0.6402439024390244, 0.6098484848484849], 'neg_log_loss': [-0.6514990781218436, -0.634098774418044, -0.7083378976967255, -0.6518550329159186, -0.6505276857905331, -0.6372123194948929]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 30.8147208721025, 'score_func': 'f_classif'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.8268847348766, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0}"
75,1784629148.7393718,23.21382474899292,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=51,
                                  score_func=<function mutual_info_classif at 0x70f8a8c6e050>)),
                ('learner',
                 RandomForestClassifier(criterion='entropy', max_features=17,
                                        min_samples_leaf=9, min_samples_split=3,
                                        n_estimators=512, warm_start=True))])",False,0.6036,0.6091,-0.6634,True,"{'f1_macro': [0.6533816425120773, 0.6068645452311072, 0.5622288955622289, 0.5435887919836704, 0.6533816425120773, 0.6022022602144306], 'accuracy': [0.6585365853658537, 0.6098484848484849, 0.5729166666666666, 0.548951048951049, 0.6585365853658537, 0.6060606060606061], 'neg_log_loss': [-0.663096968556769, -0.63069109239672, -0.713677124329042, -0.6664211744503741, -0.6694442162768084, -0.6371338955946947]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 51.0817674184099, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'True', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.4303206989335, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0}"
49,1784628599.6605191,13.131057262420654,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=95,
                                  score_func=<function mutual_info_classif at 0x70f8a8c6e050>)),
                ('learner',
                 RandomForestClassifier(criterion='entropy', max_features=1,
                                        min_samples_leaf=10,
                                        min_samples_split=16, n_estimators=512,
                                        warm_start=True))])",False,0.6024,0.6076,-0.6749,True,"{'f1_macro': [0.6229885057471265, 0.5822539998827874, 0.5706337951347223, 0.6168151926740827, 0.6363363024767918, 0.5856545654565457], 'accuracy': [0.6280487804878049, 0.5909090909090909, 0.5729166666666666, 0.6188811188811189, 0.6402439024390244, 0.5946969696969697], 'neg_log_loss': [-0.6797650268141975, -0.66460735345164, -0.6973985611753979, -0.6661322036741841, -0.6789781105952963, -0.662371459021507]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 95.4914998122898, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'True', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.0741874100512, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'min_samples_split': 16, 'min_weight_fraction_leaf': 0.0}"
113,1784630472.4493928,18.023949146270752,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=21,
                                  score_func=<function mutual_info_classif at 0x70f8a8c6e050>)),
                ('learner',
                 RandomForestClassifier(criterion='entropy', max_features=11,
                                        min_samples_leaf=16,
                                        min_samples_split=19, n_estimators=512,
                                        warm_start=True))])",False,0.6007,0.6062,-0.6654,True,"{'f1_macro': [0.6316851280880058, 0.6164943115624146, 0.5529933481152993, 0.5590067475051501, 0.6330261311487844, 0.610934520025429], 'accuracy': [0.6402439024390244, 0.6174242424242424, 0.5625, 0.5629370629370629, 0.6402439024390244, 0.6136363636363636], 'neg_log_loss': [-0.6636697525821145, -0.6323309276732777, -0.722953872013926, -0.6758045175531076, -0.6652082849334927, -0.6327137674258827]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 21.6761377690678, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'True', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.3651498787281, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 16, 'min_samples_split': 19, 'min_weight_fraction_leaf': 0.0}"
88,1784629398.6132195,139.4845666885376,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=48,
                                  score_func=<function mutual_info_classif at 0x70f8a8c6e050>)),
                ('learner',
                 RandomForestClassifier(max_features=704, min_samples_leaf=19,
                                        min_samples_split=12, n_estimators=512,
                                        warm_start=True))])",False,0.5999,0.604,-0.6777,True,"{'f1_macro': [0.6486638854436803, 0.5986738283794936, 0.5861611583950481, 0.5262983547425375, 0.6306306306306306, 0.6092407708381704], 'accuracy': [0.6524390243902439, 0.6022727272727273, 0.59375, 0.527972027972028, 0.6341463414634146, 0.6136363636363636], 'neg_log_loss': [-0.653565043842075, -0.6547581338273152, -0.7222063826490052, -0.7309300477462012, -0.6553795203168997, -0.6494939937461541]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 48.1466492746019, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.9843399416097, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 19, 'min_samples_split': 12, 'min_weight_fraction_leaf': 0.0}"
86,1784629362.2136567,36.378154039382935,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor', SelectPercentile(percentile=54)),
                ('learner',
                 RandomForestClassifier(bootstrap=False, criterion='entropy',
                                        max_features=26, min_samples_leaf=5,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",False,0.5998,0.6054,-0.669,True,"{'f1_macro': [0.5926539214210447, 0.6357562994699004, 0.5742793791574279, 0.5801744236249029, 0.606006006006006, 0.6097589532688396], 'accuracy': [0.5975609756097561, 0.6401515151515151, 0.5833333333333334, 0.583916083916084, 0.6097560975609756, 0.6174242424242424], 'neg_log_loss': [-0.6796280173748421, -0.6347464111953678, -0.7077168561877345, -0.67730393314112, -0.6741689438770576, -0.6402198298738986]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 54.289750867288, 'score_func': 'f_classif'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.4892271674337, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 17, 'min_weight_fraction_leaf': 0.0}"
103,1784630138.3042905,25.1295223236084,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor', SelectPercentile(percentile=20)),
                ('learner',
                 RandomForestClassifier(max_features=46, min_samples_leaf=8,
                                        min_samples_split=3, n_estimators=512,
                                        warm_start=True))])",False,0.599,0.6065,-0.6603,True,"{'f1_macro': [0.6229885057471265, 0.6113516113516113, 0.5033738191632928, 0.6366215599442437, 0.627442071785552, 0.592497670083877], 'accuracy': [0.6280487804878049, 0.6174242424242424, 0.5208333333333334, 0.6398601398601399, 0.6341463414634146, 0.5984848484848485], 'neg_log_loss': [-0.6576577184318354, -0.6473119146790294, -0.7101753155020805, -0.6443869743115712, -0.657752954522265, -0.6444325613936542]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 20.7913491134964, 'score_func': 'f_classif'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.5756910113626, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 8, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0}"
120,1784630522.4851382,16.83206796646118,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=86,
                                  score_func=<function mutual_info_classif at 0x70f8a8c6e050>)),
                ('learner',
                 RandomForestClassifier(bootstrap=False, criterion='entropy',
                                        max_features=3, min_samples_leaf=2,
                                        min_samples_split=19, n_estimators=512,
                                        warm_start=True))])",False,0.5985,0.602,-0.6643,True,"{'f1_macro': [0.6134246267819059, 0.62456466217785, 0.5398692810457516, 0.5820715908393197, 0.6249109519703049, 0.6063157894736843], 'accuracy': [0.6158536585365854, 0.6287878787878788, 0.5416666666666666, 0.583916083916084, 0.6280487804878049, 0.6136363636363636], 'neg_log_loss': [-0.6632484116235668, -0.6446505534952159, -0.7026754335912319, -0.6584157855119176, -0.6663671683658782, -0.6503562451984853]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 86.7230358521782, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.1817592826802, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 19, 'min_weight_fraction_leaf': 0.0}"
96,1784630045.433107,19.831024408340454,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=16,
                                  score_func=<function mutual_info_classif at 0x70f8a8c6e050>)),
                ('learner',
                 RandomForestClassifier(bootstrap=False, criterion='entropy',
                                        max_features=6, min_samples_leaf=6,
                                        min_samples_split=10, n_estimators=512,
                                        warm_start=True))])",False,0.5982,0.604,-0.6743,True,"{'f1_macro': [0.6231617647058824, 0.6321482439129498, 0.5224936443019785, 0.5563161782812115, 0.6247139588100686, 0.630662724453739], 'accuracy': [0.6341463414634146, 0.6325757575757576, 0.53125, 0.5594405594405595, 0.6341463414634146, 0.6325757575757576], 'neg_log_loss': [-0.6743642566348536, -0.6311147646587909, -0.7249372546039979, -0.7033051445422013, -0.6800494136179164, -0.6317986275603625]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 16.965614090835, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.2738682940938, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0}"
53,1784628633.6380541,135.05291652679443,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=31,
                                  score_func=<function mutual_info_classif at 0x70f8a8c6e050>)),
                ('learner',
                 RandomForestClassifier(criterion='entropy', max_features=393,
                                        min_samples_leaf=12,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",False,0.5974,0.6011,-0.6756,True,"{'f1_macro': [0.6205863389843365, 0.6266451166012468, 0.5555555555555556, 0.5241031664464347, 0.6306306306306306, 0.6266451166012468], 'accuracy': [0.6280487804878049, 0.6287878787878788, 0.5625, 0.5244755244755245, 0.6341463414634146, 0.6287878787878788], 'neg_log_loss': [-0.6603606065995246, -0.6367345384986909, -0.7259362755547581, -0.7358874899994782, -0.6580750002975994, -0.6363181605453873]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 31.9523816432636, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.RandomForestClassifier,"{'bootstrap': 'True', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.8967943818054, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 12, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0}"
