source,approach,n_features,split,accuracy,f1_score
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,1,train,0.6858006042296072,0.6857891325976433
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,1,val,0.5472972972972973,0.5471112126056177
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,1,test,0.5441176470588235,0.5405405405405406
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,2,train,0.7552870090634441,0.7549089512944274
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,2,val,0.5405405405405406,0.5375
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,2,test,0.5441176470588235,0.5392349726775956
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,3,train,0.8126888217522659,0.8126460706982179
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,3,val,0.5337837837837838,0.5335921443251884
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,3,test,0.5882352941176471,0.5878787878787879
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,4,train,0.8202416918429003,0.8202380001597316
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,4,val,0.5608108108108109,0.5591806809329607
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,4,test,0.6691176470588235,0.6689565640720506
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,5,train,0.8202416918429003,0.8202412816633694
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,5,val,0.5945945945945946,0.5934065934065934
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,5,test,0.6691176470588235,0.6689565640720506
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,6,train,0.8353474320241692,0.8353440505664769
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,6,val,0.6081081081081081,0.6074629595756356
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,6,test,0.7058823529411765,0.7056277056277056
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,7,train,0.8383685800604229,0.8383682112435338
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,7,val,0.6148648648648649,0.6140013726835964
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,7,test,0.6691176470588235,0.668669806724054
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,8,train,0.8549848942598187,0.8549835706462212
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,8,val,0.5945945945945946,0.5934065934065934
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,8,test,0.6617647058823529,0.6614718614718614
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,9,train,0.8595166163141994,0.8595137312172694
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,9,val,0.6283783783783784,0.6275451841683826
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,9,test,0.6323529411764706,0.6310763888888888
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,10,train,0.8595166163141994,0.8595137312172694
