order,time,runtime,pipeline,default_hp,f1_macro,accuracy,neg_log_loss,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
88,1784638593.4589086,11.981172323226929,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=4.1702e-09,
                                                learning_rate=0.1190901048046,
                                                max_iter=512, max_leaf_nodes=82,
                                                min_samples_leaf=14,
                                                n_iter_no_change=6,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7486,0.7524,-1.2727,False,"{'f1_macro': [0.7243680981595092, 0.803030303030303, 0.811989990207812, 0.797979797979798, 0.7822141560798548, 0.5720486111111112], 'accuracy': [0.7291666666666666, 0.8076923076923077, 0.8125, 0.8, 0.7916666666666666, 0.5735294117647058], 'neg_log_loss': [-0.8758870165435487, -0.8012683226256827, -0.93661841754636, -0.8093318886865026, -1.2368181145664683, -2.976437865018416]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 4.1702e-09, 'learning_rate': 0.1190901048046, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 82, 'min_samples_leaf': 14, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 6}"
60,1784638320.4178953,23.62370729446411,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0448499904966,
                                                learning_rate=0.1214777286342,
                                                max_iter=512,
                                                max_leaf_nodes=163,
                                                min_samples_leaf=13,
                                                n_iter_no_change=12,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7425,0.7463,-1.1225,False,"{'f1_macro': [0.7401764234161989, 0.7877551020408163, 0.7808695652173914, 0.797979797979798, 0.7822141560798548, 0.5659652728944664], 'accuracy': [0.75, 0.7884615384615384, 0.78125, 0.8, 0.7916666666666666, 0.5661764705882353], 'neg_log_loss': [-0.7243661577223336, -0.7823810941410104, -0.852523476867567, -0.7303979642213124, -1.004406705822266, -2.641198766142179]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 0.0448499904966, 'learning_rate': 0.1214777286342, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 163, 'min_samples_leaf': 13, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 12}"
72,1784638428.6338315,46.27470326423645,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.094206088799,
                                                learning_rate=0.0624724298165,
                                                max_iter=512,
                                                max_leaf_nodes=1802,
                                                min_samples_leaf=6,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7365,0.7408,-0.98,False,"{'f1_macro': [0.7243680981595092, 0.8065476190476191, 0.7552016927542522, 0.797979797979798, 0.7333333333333334, 0.6015625], 'accuracy': [0.7291666666666666, 0.8076923076923077, 0.7552083333333334, 0.8, 0.75, 0.6029411764705882], 'neg_log_loss': [-0.7184936038353829, -0.594583515723416, -0.8590754339401618, -0.7295789447427359, -0.813695398791135, -2.164301746563326]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'off', 'l2_regularization': 0.094206088799, 'learning_rate': 0.0624724298165, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 1802, 'min_samples_leaf': 6, 'scoring': 'loss', 'tol': 1e-07}"
105,1784638709.0574079,33.175379037857056,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=3.69885363e-05,
                                                learning_rate=0.026739978788,
                                                max_iter=512, max_leaf_nodes=36,
                                                min_samples_leaf=12,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7359,0.741,-1.0257,False,"{'f1_macro': [0.7319223985890653, 0.823728813559322, 0.7810361681329423, 0.6875, 0.7822141560798548, 0.6092589580961674], 'accuracy': [0.7361111111111112, 0.8269230769230769, 0.78125, 0.7, 0.7916666666666666, 0.6102941176470589], 'neg_log_loss': [-0.6917558007518844, -0.6351744727519567, -0.8297940907073404, -0.7928607523107549, -0.919513684328146, -2.2851197493372]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'off', 'l2_regularization': 3.69885363e-05, 'learning_rate': 0.026739978788, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 36, 'min_samples_leaf': 12, 'scoring': 'loss', 'tol': 1e-07}"
40,1784638150.2915204,9.501178979873657,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0004319466605,
                                                learning_rate=0.1806511671916,
                                                max_iter=512,
                                                max_leaf_nodes=161,
                                                min_samples_leaf=10,
                                                n_iter_no_change=8,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7351,0.7398,-1.2996,False,"{'f1_macro': [0.6777882750733429, 0.8641284061216872, 0.7708084644601194, 0.7442455242966752, 0.7822141560798548, 0.5712111328549685], 'accuracy': [0.6875, 0.8653846153846154, 0.7708333333333334, 0.75, 0.7916666666666666, 0.5735294117647058], 'neg_log_loss': [-0.8657530095201391, -0.8417014632201388, -0.9930280081677676, -0.9538279090360835, -1.0667476181722717, -3.0764901071624298]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 0.0004319466605, 'learning_rate': 0.1806511671916, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 161, 'min_samples_leaf': 10, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 8}"
98,1784638643.8125668,9.400320529937744,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.1622054810555,
                                                learning_rate=0.0149030887026,
                                                max_iter=512,
                                                max_leaf_nodes=717,
                                                min_samples_leaf=61,
                                                n_iter_no_change=16,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7348,0.7401,-0.5768,False,"{'f1_macro': [0.6887660216134708, 0.823728813559322, 0.7968253968253969, 0.7442455242966752, 0.7822141560798548, 0.5731601731601732], 'accuracy': [0.7013888888888888, 0.8269230769230769, 0.796875, 0.75, 0.7916666666666666, 0.5735294117647058], 'neg_log_loss': [-0.5677575264635093, -0.4216338623440029, -0.5055897925938918, -0.5345904208342416, -0.41622462280381817, -1.0151153207970638]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 0.1622054810555, 'learning_rate': 0.0149030887026, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 717, 'min_samples_leaf': 61, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 16}"
92,1784638622.985818,7.066041707992554,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=6.9365249e-06,
                                                learning_rate=0.0113048498014,
                                                max_iter=512, max_leaf_nodes=11,
                                                min_samples_leaf=12,
                                                n_iter_no_change=15,
                                                validation_fraction=0.036599546553,
                                                warm_start=True))])",False,0.7267,0.733,-0.5701,False,"{'f1_macro': [0.6785714285714286, 0.823728813559322, 0.7603906673901248, 0.797979797979798, 0.7333333333333334, 0.5661530143281968], 'accuracy': [0.6944444444444444, 0.8269230769230769, 0.7604166666666666, 0.8, 0.75, 0.5661764705882353], 'neg_log_loss': [-0.6169810662967261, -0.4556754008603142, -0.5314254293071895, -0.5459808712968063, -0.4722412419640019, -0.7980126896434233]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'valid', 'l2_regularization': 6.9365249e-06, 'learning_rate': 0.0113048498014, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 11, 'min_samples_leaf': 12, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 15, 'validation_fraction': 0.036599546553}"
87,1784638571.7547836,21.701210021972656,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.18757281e-05,
                                                learning_rate=0.0283718489112,
                                                max_iter=512,
                                                max_leaf_nodes=629,
                                                min_samples_leaf=24,
                                                n_iter_no_change=2,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7214,0.7282,-0.9019,False,"{'f1_macro': [0.7232815964523283, 0.8050974512743628, 0.7861741138123048, 0.6875, 0.7333333333333334, 0.5929251700680273], 'accuracy': [0.7291666666666666, 0.8076923076923077, 0.7864583333333334, 0.7, 0.75, 0.5955882352941176], 'neg_log_loss': [-0.693631507208441, -0.6420662762191645, -0.6109167882192873, -0.7233442427857565, -0.7562315763056534, -1.9853465890671065]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 1.18757281e-05, 'learning_rate': 0.0283718489112, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 629, 'min_samples_leaf': 24, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 2}"
100,1784638658.8230054,11.46880054473877,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0001628098565,
                                                learning_rate=0.026409269358,
                                                max_iter=512, max_leaf_nodes=51,
                                                min_samples_leaf=48,
                                                n_iter_no_change=2,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7207,0.726,-0.6753,False,"{'f1_macro': [0.7013628283626308, 0.8452380952380952, 0.7704347826086957, 0.696969696969697, 0.7333333333333334, 0.5770175151415944], 'accuracy': [0.7083333333333334, 0.8461538461538461, 0.7708333333333334, 0.7, 0.75, 0.5808823529411765], 'neg_log_loss': [-0.5826470481195705, -0.45663040485780954, -0.5144259874444829, -0.5352381967734312, -0.6095731807761822, -1.3533442506148585]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 0.0001628098565, 'learning_rate': 0.026409269358, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 51, 'min_samples_leaf': 48, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 2}"
48,1784638193.541466,5.0593085289001465,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.65010189e-05,
                                                learning_rate=0.6212469300376,
                                                max_iter=512, max_leaf_nodes=59,
                                                min_samples_leaf=5,
                                                n_iter_no_change=9,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.7203,0.7252,-1.4285,False,"{'f1_macro': [0.709090909090909, 0.7864874953340799, 0.7238909238909239, 0.797979797979798, 0.7333333333333334, 0.5712111328549685], 'accuracy': [0.7152777777777778, 0.7884615384615384, 0.7239583333333334, 0.8, 0.75, 0.5735294117647058], 'neg_log_loss': [-1.1553111335203587, -0.7514635811574392, -1.3797081311983017, -1.1657458809717536, -1.0239538769454397, -3.094628531867368]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 1.65010189e-05, 'learning_rate': 0.6212469300376, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 59, 'min_samples_leaf': 5, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 9}"
