order,time,runtime,pipeline,default_hp,f1_macro,accuracy,neg_log_loss,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
100,1784562390.2168581,12.69728708267212,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=71,
                                  score_func=<function mutual_info_classif at 0x7d673904df30>)),
                ('learner',
                 ExtraTreesClassifier(max_features=0.871279258145,
                                      min_samples_leaf=6, min_samples_split=10,
                                      n_estimators=512, warm_start=True))])",False,0.7875,0.7881,-0.5384,True,"{'f1_macro': [0.9282051282051282, 0.7213622291021672, 0.7187194791101466, 0.9282051282051282, 0.7202797202797203, 0.7082066869300911], 'accuracy': [0.9285714285714286, 0.7222222222222222, 0.71875, 0.9285714285714286, 0.7222222222222222, 0.7083333333333334], 'neg_log_loss': [-0.4190674468121416, -0.5674228745675691, -0.6211191176646027, -0.4269484209543621, -0.5766348592426503, -0.6194680086066436]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 71.8947444332797, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.871279258145, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0}"
91,1784562336.5752826,11.857822179794312,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=91,
                                  score_func=<function mutual_info_classif at 0x7d673904df30>)),
                ('learner',
                 ExtraTreesClassifier(criterion='entropy',
                                      max_features=0.5582993432372,
                                      min_samples_leaf=6, min_samples_split=15,
                                      n_estimators=512, warm_start=True))])",False,0.7833,0.7841,-0.5348,True,"{'f1_macro': [0.9282051282051282, 0.7482517482517483, 0.6762049831356762, 0.9282051282051282, 0.7213622291021672, 0.6976213750407299], 'accuracy': [0.9285714285714286, 0.75, 0.6770833333333334, 0.9285714285714286, 0.7222222222222222, 0.6979166666666666], 'neg_log_loss': [-0.4202281958661777, -0.5617017271506298, -0.6234420469330465, -0.4091921835394635, -0.5758396491850204, -0.6184171938625539]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 91.0917672924035, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.5582993432372, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0}"
84,1784562298.9400356,4.54759669303894,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor', SelectPercentile(percentile=87)),
                ('learner',
                 ExtraTreesClassifier(criterion='entropy',
                                      max_features=0.3481569132812,
                                      min_samples_leaf=6, min_samples_split=16,
                                      n_estimators=512, warm_start=True))])",False,0.7703,0.7713,-0.5353,True,"{'f1_macro': [0.9282051282051282, 0.7213622291021672, 0.6643356643356644, 0.9282051282051282, 0.6934984520123839, 0.6862745098039216], 'accuracy': [0.9285714285714286, 0.7222222222222222, 0.6666666666666666, 0.9285714285714286, 0.6944444444444444, 0.6875], 'neg_log_loss': [-0.4154275690739069, -0.5790753525805086, -0.6178013419055995, -0.40559148061201983, -0.5790997897106323, -0.614707901275767]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 87.2613251369246, 'score_func': 'f_classif'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.3481569132812, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 16, 'min_weight_fraction_leaf': 0.0}"
37,1784562150.141984,6.9156739711761475,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor', SelectPercentile(percentile=78)),
                ('learner',
                 ExtraTreesClassifier(bootstrap=True,
                                      max_features=0.8961538280938,
                                      min_samples_leaf=3, min_samples_split=6,
                                      n_estimators=512, warm_start=True))])",False,0.7698,0.7712,-0.5548,True,"{'f1_macro': [0.8916129032258064, 0.7202797202797203, 0.696301952656267, 0.9282051282051282, 0.7069199457259159, 0.6753572597360096], 'accuracy': [0.8928571428571429, 0.7222222222222222, 0.6979166666666666, 0.9285714285714286, 0.7083333333333334, 0.6770833333333334], 'neg_log_loss': [-0.473178414902911, -0.5787022519363503, -0.6134642685807363, -0.4680688067831766, -0.5806294455197288, -0.6148426929851659]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 78.3258505202387, 'score_func': 'f_classif'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.8961538280938, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0}"
66,1784562245.4789279,3.978012800216675,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor', SelectPercentile(percentile=49)),
                ('learner',
                 ExtraTreesClassifier(max_features=0.5524083594912,
                                      min_samples_leaf=7, n_estimators=512,
                                      warm_start=True))])",False,0.7662,0.7669,-0.5415,True,"{'f1_macro': [0.9282051282051282, 0.7069199457259159, 0.7083333333333334, 0.8564102564102565, 0.7213622291021672, 0.6762049831356762], 'accuracy': [0.9285714285714286, 0.7083333333333334, 0.7083333333333334, 0.8571428571428571, 0.7222222222222222, 0.6770833333333334], 'neg_log_loss': [-0.43626710690628073, -0.5671681524072626, -0.6138831361675479, -0.4436044333781246, -0.5645473247833621, -0.6234813058361426]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 49.5872117765483, 'score_func': 'f_classif'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.5524083594912, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0}"
53,1784562217.7398727,6.0110156536102295,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor', SelectPercentile(percentile=43)),
                ('learner',
                 ExtraTreesClassifier(criterion='entropy',
                                      max_features=0.8456924666443,
                                      min_samples_split=13, n_estimators=512,
                                      warm_start=True))])",False,0.7634,0.7641,-0.5289,True,"{'f1_macro': [0.89272030651341, 0.7078260869565217, 0.6762049831356762, 0.89272030651341, 0.7348323318472572, 0.6762049831356762], 'accuracy': [0.8928571428571429, 0.7083333333333334, 0.6770833333333334, 0.8928571428571429, 0.7361111111111112, 0.6770833333333334], 'neg_log_loss': [-0.4002369684565143, -0.5696209959070416, -0.610738599318878, -0.4120984108324232, -0.5627554738735916, -0.618156120356947]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 43.1480653872699, 'score_func': 'f_classif'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.8456924666443, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 13, 'min_weight_fraction_leaf': 0.0}"
71,1784562255.0249283,2.906049966812134,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor', SelectPercentile(percentile=43)),
                ('learner',
                 ExtraTreesClassifier(criterion='entropy',
                                      max_features=0.1724668651074,
                                      min_samples_split=14, n_estimators=512,
                                      warm_start=True))])",False,0.7634,0.7654,-0.5283,True,"{'f1_macro': [0.89272030651341, 0.6923076923076923, 0.6952380952380952, 0.9282051282051282, 0.7202797202797203, 0.6516767454645409], 'accuracy': [0.8928571428571429, 0.6944444444444444, 0.6979166666666666, 0.9285714285714286, 0.7222222222222222, 0.65625], 'neg_log_loss': [-0.4056879934355172, -0.5732113313209956, -0.6076207026896584, -0.41160093677670095, -0.5618984011691632, -0.6097778491592526]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 43.3496861787514, 'score_func': 'f_classif'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.1724668651074, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 14, 'min_weight_fraction_leaf': 0.0}"
96,1784562377.1353898,9.41213345527649,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor',
                 SelectPercentile(percentile=21,
                                  score_func=<function mutual_info_classif at 0x7d673904df30>)),
                ('learner',
                 ExtraTreesClassifier(bootstrap=True, criterion='entropy',
                                      max_features=0.9515934360547,
                                      min_samples_leaf=3, min_samples_split=14,
                                      n_estimators=512, warm_start=True))])",False,0.7621,0.7629,-0.5449,True,"{'f1_macro': [0.8916129032258064, 0.7213622291021672, 0.6762049831356762, 0.8916129032258064, 0.6942084942084943, 0.6976213750407299], 'accuracy': [0.8928571428571429, 0.7222222222222222, 0.6770833333333334, 0.8928571428571429, 0.6944444444444444, 0.6979166666666666], 'neg_log_loss': [-0.4354329004384336, -0.5663787502810869, -0.6279727046954199, -0.4535061819242894, -0.5652956747213425, -0.6210653902398965]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 21.4153993607263, 'score_func': 'mutual_info'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'True', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.9515934360547, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 14, 'min_weight_fraction_leaf': 0.0}"
97,1784562386.5501654,3.632382869720459,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor', SelectPercentile(percentile=31)),
                ('learner',
                 ExtraTreesClassifier(bootstrap=True, criterion='entropy',
                                      max_features=0.460313753091,
                                      min_samples_leaf=2, min_samples_split=10,
                                      n_estimators=512, warm_start=True))])",False,0.7581,0.7596,-0.5427,True,"{'f1_macro': [0.9282051282051282, 0.6923076923076923, 0.6742200328407225, 0.89272030651341, 0.7069199457259159, 0.6544125668157521], 'accuracy': [0.9285714285714286, 0.6944444444444444, 0.6770833333333334, 0.8928571428571429, 0.7083333333333334, 0.65625], 'neg_log_loss': [-0.45262420949677734, -0.555447121768474, -0.6136101879001563, -0.45536256432260247, -0.5638051853177776, -0.6155363915386556]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 31.4885943072078, 'score_func': 'f_classif'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'True', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.460313753091, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0}"
51,1784562204.669725,4.5476274490356445,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('feature-pre-processor', SelectPercentile(percentile=45)),
                ('learner',
                 ExtraTreesClassifier(criterion='entropy',
                                      max_features=0.8512552214544,
                                      min_samples_leaf=9, min_samples_split=11,
                                      n_estimators=512, warm_start=True))])",False,0.7572,0.7579,-0.5394,True,"{'f1_macro': [0.89272030651341, 0.6790075596045746, 0.6665219279201042, 0.9282051282051282, 0.6790075596045746, 0.6976213750407299], 'accuracy': [0.8928571428571429, 0.6805555555555556, 0.6666666666666666, 0.9285714285714286, 0.6805555555555556, 0.6979166666666666], 'neg_log_loss': [-0.42657585173693974, -0.5658262463320596, -0.6261694402121895, -0.4262040863999514, -0.5700416093089863, -0.6218563803736459]}",ok,,sklearn.preprocessing._data.Normalizer,,sklearn.feature_selection._univariate_selection.SelectPercentile,"{'percentile': 45.830166568411, 'score_func': 'f_classif'}",sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.8512552214544, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 11, 'min_weight_fraction_leaf': 0.0}"
