source,approach,n_features,split,accuracy,f1_score,fold
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,1,train,0.6671826625386997,0.6667602396427912,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,1,val,0.6036585365853658,0.5889724310776943,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,1,test,0.5514705882352942,0.5425420457678523,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,2,train,0.760061919504644,0.759932484757523,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,2,val,0.5914634146341463,0.590717771073118,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,2,test,0.5882352941176471,0.5868055555555556,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,3,train,0.7972136222910217,0.7972014733123887,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,3,val,0.5853658536585366,0.5762917933130699,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,3,test,0.6397058823529411,0.638121096931849,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,5,train,0.8219814241486069,0.8219809975677845,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,5,val,0.6036585365853658,0.5957067546554405,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,5,test,0.7279411764705882,0.727926466612598,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,10,train,0.8653250773993808,0.8653170089937239,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,10,val,0.5975609756097561,0.5854779411764706,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,10,test,0.7426470588235294,0.7426331440929981,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,15,train,0.8792569659442725,0.8792558086036347,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,15,val,0.6585365853658537,0.6580789277736411,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,15,test,0.7205882352941176,0.7205277958035907,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,20,train,0.8978328173374613,0.8978318380492294,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,20,val,0.6463414634146342,0.6462888591402647,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,20,test,0.7279411764705882,0.7278087304592415,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,30,train,0.9071207430340558,0.9071207430340558,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,30,val,0.6402439024390244,0.63990919578728,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,30,test,0.7132352941176471,0.7130956888624438,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,40,train,0.9256965944272446,0.9256958822176213,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,40,val,0.676829268292683,0.6767210919775357,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,40,test,0.7205882352941176,0.7183958151700087,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,50,train,0.9226006191950464,0.9225998773100222,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,50,val,0.6707317073170732,0.6706827309236947,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,50,test,0.7352941176470589,0.7347778981581798,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,60,train,0.9272445820433437,0.9272444077016162,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,60,val,0.6524390243902439,0.6524261015058561,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,60,test,0.7352941176470589,0.7347778981581798,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,75,train,0.93343653250774,0.9334363730036064,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,75,val,0.6463414634146342,0.6462888591402647,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,75,test,0.7352941176470589,0.734375,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,100,train,0.9396284829721362,0.9396283383055964,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,100,val,0.6402439024390244,0.6386181139122316,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,100,test,0.7058823529411765,0.705308775731311,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,150,train,0.9473684210526315,0.9473679165708151,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,150,val,0.6402439024390244,0.6372089535450489,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,150,test,0.7058823529411765,0.705308775731311,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,200,train,0.9504643962848297,0.9504643962848297,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,200,val,0.6097560975609756,0.6068913857677902,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,200,test,0.6838235294117647,0.682983682983683,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,300,train,0.9643962848297214,0.9643955169695213,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,300,val,0.6158536585365854,0.611681136543015,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,300,test,0.6985294117647058,0.6965442176870749,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,500,train,0.9643962848297214,0.9643961995135568,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,500,val,0.6158536585365854,0.611681136543015,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,500,test,0.6985294117647058,0.6977286279611861,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,782,train,0.9674922600619195,0.9674915589721715,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,782,val,0.6280487804878049,0.6240087195099033,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mean,782,test,0.6985294117647058,0.6965442176870749,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,1,train,0.7058823529411765,0.705780829010576,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,1,val,0.5609756097560976,0.5586124401913876,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,1,test,0.49264705882352944,0.48639921186579826,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,2,train,0.7585139318885449,0.7584768916625924,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,2,val,0.5914634146341463,0.5880169472460726,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,2,test,0.5367647058823529,0.5367396593673965,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,3,train,0.7879256965944272,0.7879129911740248,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,3,val,0.5182926829268293,0.5178445163931376,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,3,test,0.5808823529411765,0.5806783144912642,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,5,train,0.8390092879256966,0.8390077448048463,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,5,val,0.6341463414634146,0.6196660482374767,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,5,test,0.6911764705882353,0.6878688524590164,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,10,train,0.8637770897832817,0.8637718667625209,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,10,val,0.6585365853658537,0.6583333333333333,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,10,test,0.6470588235294118,0.6451402478799739,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,15,train,0.8839009287925697,0.8838939732704516,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,15,val,0.6097560975609756,0.5980392156862745,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,15,test,0.6838235294117647,0.6824327993483573,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,20,train,0.9117647058823529,0.9117475763059187,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,20,val,0.6585365853658537,0.6543730242360379,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,20,test,0.7058823529411765,0.7056277056277056,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,30,train,0.9195046439628483,0.9195015576323988,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,30,val,0.6585365853658537,0.6585365853658537,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,30,test,0.75,0.7499459225611076,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,40,train,0.9226006191950464,0.9225976515696142,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,40,val,0.6646341463414634,0.6646216768916156,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,40,test,0.7720588235294118,0.7710562041813739,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,50,train,0.9287925696594427,0.928789839444045,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,50,val,0.6524390243902439,0.6518046709129511,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,50,test,0.7647058823529411,0.7646549859398659,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,60,train,0.9365325077399381,0.9365323556546015,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,60,val,0.6463414634146342,0.6454979129397733,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,60,test,0.7573529411764706,0.7570245249309728,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,75,train,0.9427244582043344,0.9427243209565915,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,75,val,0.6402439024390244,0.6391571881409659,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,75,test,0.75,0.7497835497835498,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,100,train,0.9442724458204335,0.9442724458204335,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,100,val,0.6341463414634146,0.632177033492823,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,100,test,0.7132352941176471,0.7128471658275134,0
aggregated_ranked_features_gas-CO2_keep-CO2_post-prestimulus,median,150,train,0.9473684210526315,0.9473684210526315,0
