source,approach,n_features,split,accuracy,f1_score,fold
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,1,train,0.6331269349845201,0.6328726916962211,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,1,val,0.5670731707317073,0.55985635985636,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,1,test,0.5367647058823529,0.5205640423031728,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,2,train,0.7523219814241486,0.7523006134969326,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,2,val,0.5487804878048781,0.5389057750759878,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,2,test,0.5367647058823529,0.5294117647058824,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,3,train,0.7801857585139319,0.7801773304577042,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,3,val,0.49390243902439024,0.49070228607774913,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,3,test,0.5661764705882353,0.5642682595710019,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,5,train,0.8173374613003096,0.8173374613003096,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,5,val,0.5609756097560976,0.5435992578849722,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,5,test,0.6544117647058824,0.6489262371615312,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,10,train,0.8637770897832817,0.863775784065639,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,10,val,0.6341463414634146,0.6339285714285714,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,10,test,0.7132352941176471,0.7128471658275134,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,15,train,0.8808049535603715,0.8808046679366905,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,15,val,0.6524390243902439,0.6524261015058561,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,15,test,0.6764705882352942,0.6761904761904762,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,20,train,0.8854489164086687,0.8854489164086687,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,20,val,0.6585365853658537,0.6584857950319798,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,20,test,0.6911764705882353,0.691109669046074,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,30,train,0.9071207430340558,0.9071171818835371,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,30,val,0.6341463414634146,0.6340919232485498,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,30,test,0.6764705882352942,0.675839653304442,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,40,train,0.9256965944272446,0.9256937455068296,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,40,val,0.6524390243902439,0.6521156637266943,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,40,test,0.7058823529411765,0.7048611111111112,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,50,train,0.9272445820433437,0.9272444077016162,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,50,val,0.6646341463414634,0.6645218879012162,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,50,test,0.7573529411764706,0.7570245249309728,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,60,train,0.9256965944272446,0.9256958822176213,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,60,val,0.6585365853658537,0.6580789277736411,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,60,test,0.7573529411764706,0.7567084078711985,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,75,train,0.9380804953560371,0.9380804953560371,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,75,val,0.6280487804878049,0.6263678804855275,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,75,test,0.7867647058823529,0.7867531765341984,0
