source,approach,n_features,split,accuracy,f1_score,fold
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,1,train,0.6749226006191951,0.6748945552147239,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,1,val,0.5182926829268293,0.5130604728079077,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,1,test,0.5367647058823529,0.5355342332086519,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,2,train,0.7585139318885449,0.7585116172072695,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,2,val,0.49390243902439024,0.49373303083274445,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,2,test,0.5661764705882353,0.5659652728944664,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,3,train,0.7786377708978328,0.7786329968105017,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,3,val,0.4878048780487805,0.4875,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,3,test,0.6102941176470589,0.6101043976848597,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,5,train,0.8204334365325078,0.8203490602224779,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,5,val,0.5548780487804879,0.5548614984197806,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,5,test,0.6397058823529411,0.6395304808784551,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,10,train,0.8529411764705882,0.8529126271765313,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,10,val,0.5975609756097561,0.5854779411764706,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,10,test,0.6617647058823529,0.659926070884975,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,15,train,0.8761609907120743,0.8761609907120743,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,15,val,0.6402439024390244,0.6363363024767918,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,15,test,0.6764705882352942,0.6753472222222222,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,20,train,0.8854489164086687,0.8854478184188329,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,20,val,0.6280487804878049,0.6273699109770179,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,20,test,0.6911764705882353,0.6911764705882353,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,30,train,0.9009287925696594,0.9009135965795251,0
univariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mutual_info,30,val,0.6463414634146342,0.645021645021645,0
