source,approach,n_features,split,accuracy,f1_score
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,1,train,0.8333333333333334,0.8332929943541894
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,1,val,0.6440677966101694,0.6436583261432269
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,1,test,0.7272727272727273,0.7124183006535948
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,2,train,0.9977777777777778,0.9977777668037867
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,2,val,0.7203389830508474,0.7187025933684895
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,2,test,0.7272727272727273,0.717948717948718
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,3,train,0.9977777777777778,0.9977777668037867
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,3,val,0.7203389830508474,0.7187025933684895
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,3,test,0.75,0.7435082140964494
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,4,train,0.9977777777777778,0.9977777668037867
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,4,val,0.7033898305084746,0.7028563205986043
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,4,test,0.75,0.7333333333333334
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,5,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,5,val,0.7033898305084746,0.7033685268979386
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,5,test,0.7727272727272727,0.7684210526315789
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,6,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,6,val,0.7033898305084746,0.7031979877829679
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,6,test,0.7954545454545454,0.7901430842607313
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,7,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,7,val,0.7203389830508474,0.7198359594215411
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,7,test,0.8181818181818182,0.8147368421052632
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,8,train,1.0,1.0
