source,approach,n_features,split,accuracy,f1_score,fold
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,1,train,0.839622641509434,0.8393330807123911,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,1,val,0.7291666666666666,0.7243680981595092,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,1,test,0.7727272727272727,0.7649572649572649,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,2,train,0.9976415094339622,0.997641496314838,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,2,val,0.6180555555555556,0.6126571135129848,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,2,test,0.6136363636363636,0.611831862999481,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,3,train,0.9976415094339622,0.997641496314838,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,3,val,0.7291666666666666,0.726941216511888,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,3,test,0.6818181818181818,0.681159420289855,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,5,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,5,val,0.6805555555555556,0.6799999999999999,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,5,test,0.7272727272727273,0.7221052631578948,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,10,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,10,val,0.7152777777777778,0.712938201974036,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,10,test,0.7954545454545454,0.7953488372093023,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,20,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,20,val,0.7638888888888888,0.7601410934744268,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,20,test,0.6818181818181818,0.681159420289855,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,30,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,30,val,0.7291666666666666,0.7232815964523283,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,30,test,0.6818181818181818,0.6791666666666667,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,50,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,50,val,0.75,0.7428571428571429,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,50,test,0.7727272727272727,0.7708333333333333,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,75,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,75,val,0.7569444444444444,0.7493908806126002,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,75,test,0.6590909090909091,0.6502384737678856,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,100,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,100,val,0.7361111111111112,0.7298044637566661,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,100,test,0.6818181818181818,0.6791666666666667,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,150,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,150,val,0.7569444444444444,0.7493908806126002,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,150,test,0.7727272727272727,0.7649572649572649,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,1,train,0.839622641509434,0.8393330807123911,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,1,val,0.7291666666666666,0.7243680981595092,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,1,test,0.7727272727272727,0.7649572649572649,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,2,train,0.9976415094339622,0.997641496314838,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,2,val,0.6180555555555556,0.6126571135129848,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,2,test,0.6136363636363636,0.611831862999481,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,3,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,3,val,0.6666666666666666,0.6643356643356644,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,3,test,0.6136363636363636,0.6134366925064599,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,5,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,5,val,0.6597222222222222,0.6508140743306775,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,5,test,0.7045454545454546,0.7043927648578812,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,10,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,10,val,0.7152777777777778,0.714161220043573,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,10,test,0.6136363636363636,0.60858189429618,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,20,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,20,val,0.6875,0.6849321728983322,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,20,test,0.5454545454545454,0.5445134575569358,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,30,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,30,val,0.6527777777777778,0.6494644595910419,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,30,test,0.6818181818181818,0.6791666666666667,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,50,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,50,val,0.7916666666666666,0.7883597883597884,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,50,test,0.6818181818181818,0.6757894736842105,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,75,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,75,val,0.7916666666666666,0.7883597883597884,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,75,test,0.75,0.7488323819408407,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,100,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,100,val,0.7986111111111112,0.7974290565122484,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,100,test,0.8181818181818182,0.8147368421052632,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,150,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,150,val,0.7291666666666666,0.7261956998683634,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_max,150,test,0.8409090909090909,0.8388278388278387,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,all_features,782,train,1.0,1.0,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,all_features,782,val,0.7083333333333334,0.7013628283626308,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,all_features,782,test,0.8409090909090909,0.8401660612350804,0
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,1,train,0.7965116279069767,0.7961740308109023,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,1,val,0.8461538461538461,0.8461538461538461,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,1,test,0.7272727272727273,0.717948717948718,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,2,train,0.9961240310077519,0.9961240310077519,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,2,val,0.6923076923076923,0.6848484848484848,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,2,test,0.6136363636363636,0.60858189429618,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,3,train,1.0,1.0,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,3,val,0.75,0.7499075101738809,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,3,test,0.6818181818181818,0.681159420289855,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,5,train,1.0,1.0,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,5,val,0.6346153846153846,0.6333951762523191,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,5,test,0.6818181818181818,0.6791666666666667,1
multivariate_ranked_features_gas-N2_keep-N2_post-prestimulus,mrmr_mean,10,train,1.0,1.0,1
