source,approach,n_features,split,accuracy,f1_score,fold
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,1,train,0.7619047619047619,0.7613636363636364,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,1,val,0.7857142857142857,0.78125,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,1,test,0.5681818181818182,0.5393939393939394,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,2,train,0.7619047619047619,0.7613636363636364,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,2,val,0.7857142857142857,0.78125,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,2,test,0.5681818181818182,0.5393939393939394,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,3,train,0.7619047619047619,0.7613636363636364,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,3,val,0.7857142857142857,0.78125,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,3,test,0.5681818181818182,0.5393939393939394,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,5,train,0.7321428571428571,0.727891156462585,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,5,val,0.7857142857142857,0.78125,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,5,test,0.8068181818181818,0.8065934065934066,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,10,train,0.7619047619047619,0.7613636363636364,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,10,val,0.75,0.7470967741935484,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,10,test,0.5568181818181818,0.5179098187947746,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,15,train,0.7976190476190477,0.7975903614457831,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,15,val,0.8928571428571429,0.89272030651341,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,15,test,0.6363636363636364,0.6121212121212121,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,20,train,0.8511904761904762,0.8510585481754672,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,20,val,0.8571428571428571,0.8541666666666667,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,20,test,0.5909090909090909,0.5517826825127334,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,30,train,0.8809523809523809,0.8805290854785948,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,30,val,0.8571428571428571,0.8541666666666667,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,30,test,0.5454545454545454,0.4856808883693746,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,40,train,0.8928571428571429,0.8924761769307352,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,40,val,0.8928571428571429,0.8916129032258064,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,40,test,0.5113636363636364,0.4421347486362966,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,50,train,0.8928571428571429,0.8926136363636363,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,50,val,0.9285714285714286,0.9282051282051282,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,50,test,0.5227272727272727,0.45996493278784334,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,60,train,0.9047619047619048,0.9046402724563645,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,60,val,0.8928571428571429,0.8916129032258064,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,60,test,0.5340909090909091,0.46808196962995724,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,75,train,0.8988095238095238,0.8985182816330881,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,75,val,0.9642857142857143,0.9642401021711366,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,75,test,0.5227272727272727,0.45996493278784334,0
aggregated_ranked_features_gas-O3_keep-O3_post-prestimulus,mean,100,train,0.9226190476190477,0.922550445051243,0
