source,approach,n_features,split,accuracy,f1_score,fold
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,1,train,0.7619047619047619,0.7613636363636364,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,1,val,0.7857142857142857,0.78125,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,1,test,0.5681818181818182,0.5393939393939394,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,2,train,0.7916666666666666,0.7916592849803352,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,2,val,0.8928571428571429,0.89272030651341,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,2,test,0.6704545454545454,0.6576794097920858,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,3,train,0.7619047619047619,0.7584818861414606,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,3,val,0.7857142857142857,0.7754010695187166,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,3,test,0.6136363636363636,0.5825892857142857,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,5,train,0.7678571428571429,0.7677830940988836,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,5,val,0.8928571428571429,0.8916129032258064,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,5,test,0.5909090909090909,0.5636363636363636,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,10,train,0.7738095238095238,0.7705577918343876,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,10,val,0.9285714285714286,0.9285714285714286,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,10,test,0.6931818181818182,0.6883116883116883,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,15,train,0.8392857142857143,0.8383175904473357,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,15,val,0.9285714285714286,0.9282051282051282,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,15,test,0.6477272727272727,0.6340710932260228,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,20,train,0.8690476190476191,0.8688803746275011,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,20,val,0.9285714285714286,0.9282051282051282,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,20,test,0.5568181818181818,0.5179098187947746,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,30,train,0.8869047619047619,0.8864178201615486,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,30,val,0.9285714285714286,0.9282051282051282,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,30,test,0.625,0.6023551964945912,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,40,train,0.8928571428571429,0.8924761769307352,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,40,val,0.9285714285714286,0.9282051282051282,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,40,test,0.5568181818181818,0.5107626514611546,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,50,train,0.9107142857142857,0.9105590062111801,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,50,val,0.9285714285714286,0.9282051282051282,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,50,test,0.5454545454545454,0.4856808883693746,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,60,train,0.9166666666666666,0.9164772727272728,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,60,val,0.9285714285714286,0.9282051282051282,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,60,test,0.5340909090909091,0.46808196962995724,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,75,train,0.9166666666666666,0.9163703598350164,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,75,val,0.8928571428571429,0.8916129032258064,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,75,test,0.5113636363636364,0.4314049586776859,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,100,train,0.9166666666666666,0.9163703598350164,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,100,val,0.8571428571428571,0.8541666666666667,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,100,test,0.5227272727272727,0.45,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,150,train,0.9345238095238095,0.9344099378881987,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,150,val,0.8571428571428571,0.8541666666666667,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,150,test,0.5113636363636364,0.4314049586776859,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,200,train,0.9345238095238095,0.9344099378881987,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,200,val,0.8571428571428571,0.8541666666666667,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,200,test,0.5113636363636364,0.4314049586776859,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,300,train,0.9166666666666666,0.9165602383993188,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,300,val,0.8571428571428571,0.8541666666666667,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,300,test,0.5227272727272727,0.45,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,500,train,0.9345238095238095,0.9344657611972056,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,500,val,0.8571428571428571,0.8541666666666667,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,500,test,0.5227272727272727,0.45,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,1,train,0.7619047619047619,0.7613636363636364,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,1,val,0.7857142857142857,0.78125,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,1,test,0.5681818181818182,0.5393939393939394,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,2,train,0.7916666666666666,0.7916592849803352,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,2,val,0.8928571428571429,0.89272030651341,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,2,test,0.6704545454545454,0.6576794097920858,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,3,train,0.7857142857142857,0.7854406130268199,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,3,val,0.8928571428571429,0.89272030651341,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,3,test,0.6136363636363636,0.5878787878787879,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,5,train,0.7857142857142857,0.7854406130268199,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,5,val,0.8928571428571429,0.89272030651341,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,5,test,0.6136363636363636,0.5878787878787879,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,10,train,0.7738095238095238,0.7717391304347826,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,10,val,0.8928571428571429,0.89272030651341,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,10,test,0.6136363636363636,0.596765498652291,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,15,train,0.8154761904761905,0.8153125997375794,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,15,val,0.8928571428571429,0.8916129032258064,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,15,test,0.6704545454545454,0.6576794097920858,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,20,train,0.8928571428571429,0.8926136363636363,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,20,val,0.9285714285714286,0.9282051282051282,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,20,test,0.5340909090909091,0.4773286976676807,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,30,train,0.8928571428571429,0.8923076923076922,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,30,val,0.8571428571428571,0.8541666666666667,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,30,test,0.5227272727272727,0.45996493278784334,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,40,train,0.9047619047619048,0.9044232683828759,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,40,val,0.9285714285714286,0.9282051282051282,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,40,test,0.5227272727272727,0.45996493278784334,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,50,train,0.9226190476190477,0.9224844720496894,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,50,val,0.9642857142857143,0.9642401021711366,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,50,test,0.5113636363636364,0.4421347486362966,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,60,train,0.9166666666666666,0.9165602383993188,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,60,val,0.9642857142857143,0.9642401021711366,0
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_max,60,test,0.5113636363636364,0.4421347486362966,0
