source,approach,n_features,split,accuracy,f1_score,fold
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,1,train,0.7619047619047619,0.7613636363636364,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,1,val,0.7857142857142857,0.78125,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,1,test,0.5681818181818182,0.5393939393939394,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,2,train,0.7619047619047619,0.7613636363636364,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,2,val,0.7857142857142857,0.78125,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,2,test,0.5681818181818182,0.5393939393939394,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,3,train,0.7619047619047619,0.7613636363636364,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,3,val,0.7857142857142857,0.78125,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,3,test,0.5681818181818182,0.5393939393939394,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,5,train,0.7619047619047619,0.7584818861414606,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,5,val,0.7857142857142857,0.7754010695187166,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,5,test,0.6136363636363636,0.5825892857142857,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,10,train,0.7797619047619048,0.779128024730839,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,10,val,0.8214285714285714,0.8155467720685112,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,10,test,0.5909090909090909,0.5686274509803921,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,20,train,0.8392857142857143,0.8385937444400954,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,20,val,0.9642857142857143,0.9642401021711366,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,20,test,0.6363636363636364,0.6204851752021563,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,30,train,0.8690476190476191,0.86875,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,30,val,0.9285714285714286,0.9282051282051282,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,30,test,0.5795454545454546,0.5487179487179488,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,50,train,0.8928571428571429,0.8924761769307352,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,50,val,0.8928571428571429,0.8916129032258064,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,50,test,0.5227272727272727,0.4389799635701275,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,75,train,0.9107142857142857,0.9103298580222752,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,75,val,0.8928571428571429,0.8916129032258064,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,75,test,0.5340909090909091,0.4578512396694215,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,100,train,0.9226190476190477,0.9223963330135381,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,100,val,0.8571428571428571,0.8541666666666667,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,100,test,0.5227272727272727,0.45,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mutual_info,150,train,0.9166666666666666,0.9165602383993188,0
