rank,mrmr_mean,mrmr_max
1,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)"
2,"value__fft_coefficient__attr_""imag""__coeff_27","value__fft_coefficient__attr_""imag""__coeff_27"
3,value__index_mass_quantile__q_0.3,value__friedrich_coefficients__coeff_1__m_3__r_30
4,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0"
5,"value__fft_coefficient__attr_""imag""__coeff_60","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean"""
6,value__friedrich_coefficients__coeff_1__m_3__r_30,"value__fft_coefficient__attr_""real""__coeff_13"
7,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var"""
8,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_7"
9,"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",value__energy_ratio_by_chunks__num_segments_10__segment_focus_6
10,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",value__count_above_mean
11,"value__fft_coefficient__attr_""real""__coeff_13","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2"
12,"value__fft_coefficient__attr_""imag""__coeff_23",value__symmetry_looking__r_0.05
13,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",value__friedrich_coefficients__coeff_0__m_3__r_30
14,value__count_above_mean,"value__fft_coefficient__attr_""abs""__coeff_37"
15,"value__fft_coefficient__attr_""imag""__coeff_54","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var"""
16,value__index_mass_quantile__q_0.1,"value__fft_coefficient__attr_""angle""__coeff_68"
17,"value__fft_coefficient__attr_""imag""__coeff_76","value__fft_coefficient__attr_""angle""__coeff_97"
18,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_67"
19,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",value__ar_coefficient__coeff_3__k_10
20,"value__fft_coefficient__attr_""imag""__coeff_25","value__agg_autocorrelation__f_agg_""var""__maxlag_40"
21,value__friedrich_coefficients__coeff_0__m_3__r_30,value__kurtosis
22,"value__fft_coefficient__attr_""real""__coeff_15",value__number_crossing_m__m_-1
23,value__spkt_welch_density__coeff_2,"value__fft_coefficient__attr_""real""__coeff_15"
24,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",value__permutation_entropy__dimension_3__tau_1
25,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,value__length
26,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","value__fft_coefficient__attr_""real""__coeff_10"
27,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0"
28,"value__fft_coefficient__attr_""abs""__coeff_12",value__partial_autocorrelation__lag_9
29,"value__fft_coefficient__attr_""imag""__coeff_18",value__number_crossing_m__m_0
30,"value__fft_coefficient__attr_""real""__coeff_2","value__fft_coefficient__attr_""angle""__coeff_19"
31,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
32,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,"value__fft_coefficient__attr_""real""__coeff_84"
33,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)"
34,"value__fft_coefficient__attr_""angle""__coeff_68","value__fft_coefficient__attr_""angle""__coeff_91"
35,value__variance,"value__fft_coefficient__attr_""angle""__coeff_61"
36,"value__fft_coefficient__attr_""real""__coeff_7","value__fft_coefficient__attr_""real""__coeff_14"
37,"value__fft_coefficient__attr_""angle""__coeff_67","value__fft_coefficient__attr_""angle""__coeff_54"
38,"value__fft_coefficient__attr_""imag""__coeff_20","value__fft_coefficient__attr_""imag""__coeff_60"
39,value__variance_larger_than_standard_deviation,"value__fft_coefficient__attr_""real""__coeff_4"
40,"value__fft_coefficient__attr_""abs""__coeff_37","value__fft_coefficient__attr_""angle""__coeff_8"
41,"value__fft_coefficient__attr_""angle""__coeff_97","value__fft_coefficient__attr_""real""__coeff_16"
42,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_76"
43,"value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",value__partial_autocorrelation__lag_6
44,"value__fft_coefficient__attr_""real""__coeff_3",value__percentage_of_reoccurring_values_to_all_values
45,value__standard_deviation,"value__fft_coefficient__attr_""angle""__coeff_63"
46,"value__fft_coefficient__attr_""angle""__coeff_19","value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)"
47,value__ratio_beyond_r_sigma__r_3,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2
48,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_69"
49,value__partial_autocorrelation__lag_9,"value__fft_coefficient__attr_""angle""__coeff_94"
50,"value__fft_coefficient__attr_""imag""__coeff_29","value__fft_coefficient__attr_""real""__coeff_61"
51,"value__linear_trend__attr_""stderr""",value__longest_strike_below_mean
52,value__ratio_beyond_r_sigma__r_2,"value__fft_coefficient__attr_""angle""__coeff_72"
53,value__range_count__max_1000000000000.0__min_0,"value__fft_coefficient__attr_""angle""__coeff_92"
54,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",value__variation_coefficient
55,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""real""__coeff_21"
56,"value__fft_coefficient__attr_""angle""__coeff_8",value__variance
57,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_54"
58,value__length,"value__fft_coefficient__attr_""angle""__coeff_57"
59,"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""angle""__coeff_98"
