order,time,runtime,pipeline,default_hp,accuracy,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
40,1783008519.96132,46.48852276802063,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=2.980262e-07,
                                                learning_rate=0.0455343286992,
                                                max_iter=512,
                                                max_leaf_nodes=704,
                                                min_samples_leaf=32,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.6667,True,"{'accuracy': [0.6507936507936508, 0.6666666666666666, 0.7063492063492064, 0.6547619047619048, 0.6547619047619048]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 2.980262e-07, 'learning_rate': 0.0455343286992, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 704, 'min_samples_leaf': 32, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 10}"
2,1783007807.6662357,24.86924910545349,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                   'value__first_location_of_minimum',
                                                   'value__percentage_of_reoccurring_values_to_all_values',
                                                   'value__percentage_of_reoccurring_datapoints_to_all_datapoints',
                                                   'value__sum_of_reoccurring_values', ...]),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner', HistGradientBoostingClassifier())])",True,0.6452,True,"{'accuracy': [0.6111111111111112, 0.6190476190476191, 0.6349206349206349, 0.7063492063492064, 0.6547619047619048]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
1,1783007782.7758775,6.819467306137085,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                   'value__first_location_of_minimum',
                                                   'value__percentage_of_reoccurring_values_to_all_values',
                                                   'value__percentage_of_reoccurring_datapoints_to_all_datapoints',
                                                   'value__sum_of_reoccurring_values', ...]),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner', RandomForestClassifier())])",True,0.6349,True,"{'accuracy': [0.6071428571428571, 0.6111111111111112, 0.6190476190476191, 0.6865079365079365, 0.6507936507936508]}",ok,,,,,,sklearn.ensemble._forest.RandomForestClassifier,
37,1783008290.4215062,14.234914541244507,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=2.9171e-09,
                                                learning_rate=0.0129275343348,
                                                max_iter=512, max_leaf_nodes=4,
                                                min_samples_leaf=95,
                                                n_iter_no_change=18,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.6333,True,"{'accuracy': [0.6428571428571429, 0.6309523809523809, 0.6150793650793651, 0.6428571428571429, 0.6349206349206349]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 2.9171e-09, 'learning_rate': 0.0129275343348, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 4, 'min_samples_leaf': 95, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 18}"
39,1783008507.455364,12.503399848937988,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=4.899107e-07,
                                                learning_rate=0.0781292406642,
                                                max_iter=512, max_leaf_nodes=3,
                                                min_samples_leaf=17,
                                                n_iter_no_change=20,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.6254,True,"{'accuracy': [0.6626984126984127, 0.6031746031746031, 0.5873015873015873, 0.6626984126984127, 0.6111111111111112]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 4.899107e-07, 'learning_rate': 0.0781292406642, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 3, 'min_samples_leaf': 17, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 20}"
22,1783007889.7437491,23.856188774108887,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                   'value__percentage_of_reoccurring_values_to_all_values',
                                                   'value__percentage_of_reoccurring_datapoints_to_all_datapoints',
                                                   'value__sum_of_reoccurring_values', ...]),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('data-pre-processor', VarianceThreshold()),
                ('learner', HistGradientBoostingClassifier())])",True,0.6214,False,"{'accuracy': [0.623015873015873, 0.6071428571428571, 0.5992063492063492, 0.6587301587301587, 0.6190476190476191]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,
33,1783008261.6426094,10.915632009506226,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=6.80658e-08,
                                                learning_rate=0.2663829446963,
                                                max_iter=512,
                                                max_leaf_nodes=1310,
                                                min_samples_leaf=68,
                                                n_iter_no_change=14,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.6206,True,"{'accuracy': [0.626984126984127, 0.6349206349206349, 0.5714285714285714, 0.6388888888888888, 0.6309523809523809]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 6.80658e-08, 'learning_rate': 0.2663829446963, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 1310, 'min_samples_leaf': 68, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 14}"
32,1783008204.69578,56.94423246383667,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.64688e-08,
                                                learning_rate=0.1054596052202,
                                                max_iter=512,
                                                max_leaf_nodes=166,
                                                min_samples_leaf=2,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.6135,True,"{'accuracy': [0.5873015873015873, 0.6031746031746031, 0.6190476190476191, 0.6349206349206349, 0.623015873015873]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 1.64688e-08, 'learning_rate': 0.1054596052202, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 166, 'min_samples_leaf': 2, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 10}"
31,1783008190.734474,13.958942651748657,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0049518439406,
                                                learning_rate=0.0806152810251,
                                                max_iter=512,
                                                max_leaf_nodes=405,
                                                min_samples_leaf=165,
                                                n_iter_no_change=9,
                                                validation_fraction=None,
                                                warm_start=True))])",False,0.6111,True,"{'accuracy': [0.6150793650793651, 0.5952380952380952, 0.6507936507936508, 0.5992063492063492, 0.5952380952380952]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'train', 'l2_regularization': 0.0049518439406, 'learning_rate': 0.0806152810251, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 405, 'min_samples_leaf': 165, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 9}"
0,1783007775.93667,1.903289794921875,"Pipeline(steps=[('impute_and_binarize',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median'))]),
                                                  ['value__variance_larger_than_standard_deviation',
                                                   'value__has_duplicate_max',
                                                   'value__has_duplicate_min',
                                                   'value__has_duplicate',
                                                   'value__sum_values',
                                                   'value__abs_energy',
                                                   'value__mean_abs_change',
                                                   'value__mean_chan...
                                                   'value__first_location_of_minimum',
                                                   'value__percentage_of_reoccurring_values_to_all_values',
                                                   'value__percentage_of_reoccurring_datapoints_to_all_datapoints',
                                                   'value__sum_of_reoccurring_values', ...]),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('binarizer',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('learner', ExtraTreesClassifier())])",True,0.6087,True,"{'accuracy': [0.5912698412698413, 0.6150793650793651, 0.623015873015873, 0.5793650793650794, 0.6349206349206349]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
