rank,mutual_info,mutual_info_score,anova,anova_score,chi2,chi2_score
1,value__absolute_sum_of_changes,0.19314827667802126,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",126.06371944324452,value__variance_larger_than_standard_deviation,156.44396752794654
2,value__mean_abs_change,0.19076414892959126,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",122.4413420006784,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",105.2654209544155
3,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.19076414892959126,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",121.86361436251345,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",105.08560738378142
4,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.1646505018981661,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",119.96328920771978,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",101.65163457534011
5,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.16451835302423623,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",119.32895101534109,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",101.3038356328214
6,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.15828267786969552,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",117.96734559051767,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",99.24778454975635
7,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.1578451216832888,"value__fft_aggregated__aggtype_""centroid""",115.64712636549007,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",98.79764368049449
8,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.157715740529895,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",115.27824609262336,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",98.53024080429127
9,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.15542606297397876,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",114.5859187031771,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",94.94243096452735
10,value__variation_coefficient,0.15478680719439364,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",114.57092508330568,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",94.82963530071623
11,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.15434698535897762,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",114.15849367753628,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",94.45588839018434
12,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.15035248754759034,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",113.91728874769838,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",88.87745399154907
13,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.14615300965649625,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",113.79664583946872,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",87.10756265331857
14,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.14544368554419052,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",113.25640239342452,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",86.82632156208376
15,value__cid_ce__normalize_False,0.14529340355305176,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",111.73490528926064,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",83.4441992125692
16,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.14463613851331458,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",111.56828588358125,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",80.83532237181126
17,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",0.14398852942807694,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",110.23770751990907,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",79.20028766854648
18,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.14388570250139998,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",108.36981743143832,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",77.7134294082174
19,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.14017880760276036,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",108.24767788202585,"value__fft_aggregated__aggtype_""centroid""",74.02899698110129
20,"value__fft_coefficient__attr_""imag""__coeff_30",0.139233362940836,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",106.97094768701145,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",71.42154509638874
21,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.13851069828278662,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",106.1823855404849,"value__fft_aggregated__aggtype_""variance""",61.56707662283409
22,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.13760632335774337,value__absolute_sum_of_changes,105.91876893670499,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",57.48557019424642
